# FILE DATA
ID : MDRW2100004414
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 최근 강추템 있으신가요
P1 	: 흠...저는 최근에 산 물건이 없어서...
P1 	: 아 그 자동 스테이플러 아시나요?
P0 	: 오 그게 뭐죠?
P0 	: 넣으면 자동으로 찝어주나?
P1 	: 네!
P1 	: 그냥 갖다대면 알아서 찝어줘요
P1 	: 엄청 편해요
P0 	: 신기하네요
P0 	: 요즘은 진짜 여러가지 물건이 많이 나오는거같아요
P1 	: 맞아요..!
P0 	: 그런 생각은 어떻게 하는건지
P0 	: 저는 요즘 당근에 푹 빠져서
P0 	: 중고거래 내역만 잔뜩이네요
P1 	: 사기 당하신 적은 없으세요?
P0 	: 다행히 아직은 없어요
P1 	: 다행이네요!
P0 	: 다 낮은 가격대의 물건들이라
P0 	: 그럴지도 모르지만요
P0 	: 그리고 저는 대면 거래를 선호해서요
P0 	: 조금 쫄려도 나가서 거래해요 꼭
P1 	: 저는 한 번 당해봐서..다시 당근하기가 조금 무섭더라구요..
P0 	: 엄마야
P0 	: 무슨일이래요 ㅠㅠ
P0 	: 큰 돈이었나요?
P1 	: 저한테는 큰 돈이였지만 엄청 큰 돈은 아니였어요..
P0 	: 안좋은 기억으로 남을 만 했네요 ㅠㅠ
P0 	: 충격이 크셨겠어요
P1 	: 경찰서 가서 진술서 쓰고 사기꾼한테 연락해보고 조그 힘들었지만
P1 	: 다시 돈 돌려받았어요!
P1 	: 정말 다행이도..
P0 	: 그래도 일이 잘 풀렸었네요 다행이에요
P0 	: 사기꾼들 다 잡혀가야해 ㅡㅡ
P1 	: 맞아요 진짜...
P1 	: 최근 추천템이 있으신가요..?
P0 	: 추천템..
P0 	: 흐음
P0 	: 이번에 취미를 하나 만들었거든요
P0 	: 그러면서 자수 도구를 싹 샀는데...
P0 	: 예뻐서 만족스러웠던..
P0 	: 이런 얘기밖에.. 소비를 잘 안하네요
P1 	: 자수는 바느질이랑 똑같은건가요?
P0 	: 제가하는 건 프랑스 자수라
P0 	: 비슷한 것들이 있긴해요
P0 	: 근데 일반 바느질보다 기법이 훨씬 다양하죠
