# FILE DATA
ID : MDRW2100025755
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 오늘 일 1도안하시네
P1 	: ㅋㅋㅋㅋ회는 비린내 살짝 나지만 쫀득하고 맛있다?
P1 	: 님 때문임
P0 	: 회는 노 비린내
P1 	: 오늘 일이 크게 없네요
P1 	: 바쁘면 볼시간없죠
P0 	: 회 자랑좀하고싶은데 아쉽네
P1 	: 숭어 좋아하니 숭어 대신 먹어주세요
P0 	: 숭어는 물컹인가요?
P1 	: 완전 쫀득이요
P1 	: 제스탈임
P0 	: 아삭하는 회가 잇엇는데 기억좀요
P0 	: 아삭아삭 한 회가 있었는데 ㅠ
P1 	: 아삭아삭이요?
P1 	: 참치 얼려드셨어요?
P0 	: 아니ㅠ
P0 	: 아 이름기억이안나네
P1 	: 뼈를 드셨나
P0 	: 아님 회임
P0 	: 세꼬시안먹음 ㅠ
P1 	: 까다로우시네
P0 	: 아나고는 먹음
P0 	: 아나고졸맛
P1 	: 근데 저도 세꼬시 안먹암
P1 	: 장어?
P0 	: 아나고 회
P0 	: 하얀거잇자나요
P1 	: ???
P0 	: 아 붕장어 ㅇㅇ
P1 	: 장어맞네!
P1 	: 안먹어봤어요
P1 	: 뭔맛일까
P0 	: 진짜맛,잇음
P0 	: 엔가와처럼 고소함
P1 	: 대충 표현좀요
P0 	: 돌돔이엿나 내가먹은게
P1 	: 일어전공이신가
P0 	: 엔가와 = 광어지느러미
P1 	: 네네 좋아합니다
P1 	: 사장님이 꼭 토치로 구워주심
P1 	: 제가 좋아해서
P0 	: 붕장어 먹어봐여 진짜졸맛
P1 	: 오징어회는,드세요?
P0 	: 아 좋죠
P0 	: 회는 다좋아한다니까요 ㅋㅋㅋㅋ
P1 	: 귯
P1 	: 물회는요
P0 	: 회만먹어요
P0 	: 이상한거안먹음
P0 	: 멍게 해삼이런거
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 이상한거랰ㅋㅋㅋㅋㅋ
P0 	: 왜웃지
P1 	: 소 간은요?
P0 	: 웩
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 쳐다도안봄
P1 	: 육회는 드신댔지않나?
P0 	: 육회는 완전잘먹음
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
