# FILE DATA
ID : MDRW2100021937
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅇㅏ복잡해
P1 	: 그럼 저 모시는자 시리즈는
P1 	: 켄리아 얘기야?
P1 	: 어우 복잡해
P1 	: 읽어도 모르겠다
P0 	: 모시는 자 시리즈가 뭐지
P1 	: 그
P0 	: 아 ㅇㅇ
P0 	: 아니
P0 	: 저거는 정확하게 말하면
P0 	: 게임 설정상 지금의 문명 이전에 존재하던
P1 	: ㅇㅎ.....
P0 	: 과거 멸망했던 문명을 하나씩 얘기해주는거
P0 	: 첫번째 문명은 얼음으로 망했기 때문에
P1 	: 근데 왜 지하로 내려가?
P0 	: (아마 설산으로 추정함
P0 	: 제빙의 관 스토리
P0 	: 두번째는 화염으로 상징돼서 제화의 관
P0 	: 세번째는 단비가 내리는 걸로 시작해서 제수의 관
P0 	: 네번째는 천둥번개로 상장되는 제뢰의 관
P0 	: (이게 아마 켄리아로 추정
P0 	: 그리고 다섯번째가 지금의 문명
P1 	: ㅇㅎ......
P1 	: 왜 사도들이 지하로 내려가지...?
P0 	: 그리고
P0 	: 음 이간
P0 	: 이건
P0 	: 추정인데
P0 	: 얘네가 여기저기 신화를 많이 갖다쓰잖아
P1 	: ㅇㅇ
P0 	: 그중에서도 자주 반복되는게 나무잔ㄹ음?
P1 	: ㅇㅇ
P0 	: 가장 유명한 세계수는
P0 	: 위그드라실인대
P1 	: 이그드라실?
P1 	: ㅇㅇ
P0 	: 북유럽 신화 설정에 따르면
P0 	: 세계수의 뿌리에 지혜의 샘물이 있음...
P1 	: 아니 그럼
P0 	: 그래서 진리를 찾으러 가는 과정을 지하로 내려가는걸로 표현했을지도...
P1 	: 사도는 누구야
P1 	: 뭐하는 애들이야
P0 	: 무슨사도
P0 	: 성유물 상 사도?
P1 	: ㅇㅇ
P1 	: 거기서 사도가
P1 	: 내려갔다고 그래서
P1 	: 아 내려간건
P1 	: 제사장이고
P1 	: 사도가 답을 안했대
P1 	: 아 혹시 그 사도가
P1 	: 일곱신인가...?
P1 	: ㅇㅏ
P1 	: 아복잡해
P0 	: 일곱신이거나
P0 	: 아님 천리일듯
P0 	: 제뢰의 관 설명 보면
P0 	: 은색 나무 어쩌구저쩌구 하는데
P0 	: 이게 지맥의 가지가 자라는 그 나무인듯
P1 	: ㅇㅇ
P0 	: 그리고
P0 	: 저 관 시리즈 설명 잘 보면
P0 	: 최초의 문명인
P0 	: 제빙의 관만
P1 	: ㅇㅇ
P0 	: 셀레스티아라고 직접 지칭하고
P1 	: 헐
P0 	: 그 다음부터는 다 하늘이라고 지칭하거든
P0 	: 그래서 원래 셀레스티아는 지상에 있었는대
P1 	: 어 헐
P1 	: 그러네
P0 	: 첫번째 문명 멸망하고 위기감늘 느낀 천리가
P0 	: 하늘로 옮긴거 아니냐는 추측도 잇음
P1 	: ㅇㅎ......
P1 	: 근데 이러면 켄리아 멸망의 주역은
P1 	: 라이덴인가?
P1 	: 그러네
P1 	: 사도가
P1 	: 영원을 의심한다는거에 화가 났댔으니까
P1 	: 라이덴 확정이네
P0 	: 사도는 그냥 천리 아냐?
P0 	: 라이덴이 영원을 추구한지
P0 	: 얼마 안됐음
P1 	: 근데 다른 관들에는
P1 	: 그런 설명이 없어
P0 	: 영원을 추구하면서 안수령 내리고 봉쇄해버렸으니까
P0 	: 100년도 안된듯
P1 	: 뇌명의 관에만
P1 	: 영원을 의심해서 참을수없다고
P1 	: 써있어
P1 	: 불이랑 물에서는
P1 	: 그냥 사도가 답을 해주지 않았는데
P1 	: ㅇㅏ
P1 	: 어렵다 진짜
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 제빙의 관은
P0 	: 확실히 설산 스토리인거같은데
P0 	: 여기서 멸망의 주체가 천리니까
P1 	: 설산에 무슨 스토리가 있는데?
P0 	: 일관성 있게 천리가 밀지 않았을까
P0 	: 설산 다 열지 않았어?
P1 	: 몰라 기억 안나.....
P1 	: 하긴 근데
P1 	: 다른 문명은 다
P1 	: 우리한테 미래가 있나요...?
P1 	: 였는데 켄리아만
P1 	: 니가 그래서 신이 맞냐??
P1 	: 해서
P1 	: 괘씸했나
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 설산 내용이
P0 	: 위대한 존재로부터 계시를 받던 고대 문명이
P0 	: 제사장을 뽑아서 진리를 알려고 하니까
P0 	: 천리가 한천의 못(망치질할 때 쓰는거)를 떨궈서
P1 	: 그런 스토리가 있었어....?
P0 	: 그 지역을 통채로 얼려버린거임
P1 	: 헐
P0 	: 높은 수준의 문명을 구사하던 사람들이
P0 	: 혹한을 녹이려고 시도했지만 다 죽고
P1 	: 그 못이 공중에 떠있는 그건가?
