# FILE DATA
ID : MDRW2100030084
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 갑자기 인정?
P1 	: 제가 좀 자상하거든요
P1 	: 그래서 그 매력에 빠진거 같아요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아 그렇구나
P0 	: 여전히 자상한가요?
P0 	: 여전히 재밌구?
P1 	: 네
P1 	: 아 요즘은 좀 노잼이라고
P1 	: 대놓고 말하던데
P1 	: 감이 죽었나봅니다
P0 	: 헤어지자는 시그널 아니신지
P1 	: 네?
P1 	: 잘만나는 커플한테
P1 	: 그게 무슨소리에요
P1 	: 결투신청인가여?
P0 	: 동상이몽이 아니길
P0 	: 두 분 사랑 영원하길 빕니다 ㅋㅋㅋ
P1 	: 와
P1 	: 이제 결투의 시간이 온거에요?
P0 	: ㅋㅋㅋ아니에여 &name2&님ㅋㅋ
P0 	: 여자친구분은
	  나이가어떻거 되나여
P1 	: 네살차이요
P0 	: 그래도 궁합은 꼭 보시구염
P1 	: 봤어요
P1 	: 이미
P1 	: 궁합 믿으세요?
P0 	: 아 나도 볼 걸
P1 	: 안봤어요?
P0 	: 네
P0 	: 보라고 안하셨잖아요
P1 	: 결혼후에는요?
P0 	: 이제라도 볼까봐요
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 한번 봐요
P1 	: 결혼전에 보는것도 좋은데
P1 	: 안좋으면 기분이 그렇다던데
P1 	: 쨌든 저희 궁합은 좋대요 ㅎㅎ
