# FILE DATA
ID : MDRW2100026792
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: ㅋㅋㅋ 응응ㅇ응 좋아(ㅋㅋㅋㅋ
P0 	: 첫화가 사채쓴건지 부모 빚인건지 주인공은 사채업자 게임 업장에서 게임하는 일 하는데
P0 	: 여동생만 생각하면서 사는데
P0 	: 여동생이 생을 마감했다는 이야기를 듣게됨
P1 	: 아..ㅠㅠㅠ응ㅇ응응
P0 	: 그래서 주인공 분노하고
P0 	: 그 원인이 된 사채업자 죽이고
P0 	: 본인도 빈사상태가 됨
P0 	: 그리고 그 말을 들은 윗사람이 그럼 있는거 다 떼라고  지시하고 주인공 심장이 멈추면서 스토리가 시작됨
P1 	: . ... . .. 아니? 맵다(ㅠㅠㅠㅠㅠ) ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
P1 	: 와.... 웹소설인데 진짜 맵네....
P0 	: 심장이 멈추는 순간 고등학생? 으로 돌아가서...
P1 	: 약간.... 판소 매운맛과는 다른 차원의 매운맛 ㅠㅠㅠ 응ㅇ응응
P0 	: 자기가 업장에서 게임 랭커로 빚갚았던 거를 경험삼아 샤이닝로드로
P0 	: 돈벌고...여동생 결혼도 시키고...
P0 	: 네 근데 마지막 화에...네...
P1 	: . . .. . .. .
P1 	: (왜...?
P1 	: 그.... 뭐지 그 결말로 가는 과정이 개연성 있게 진행된 거야?
P0 	: 뭐라고 해야하지 중간을 제대로 보진 않았는데
P0 	: 이미 1,2화 만으로 현실은 끝났던거죠
P0 	: 계속 무난무난하게 주인공이 잘나가고 행복해하고 그러는게 계속 나온대
P0 	: 그러다가 갑자기 마지막 화에서 사실 다 지금 죽어가는 상황에서 본 환상이었다
P0 	: 일케 되는
P1 	: ()
P1 	: 괴롭다(울며) ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
P1 	: 밈이 될만 하네..ㅋ..ㅋ.ㅋ.ㅠ.ㅠ..ㅠㅋ.ㅋ.ㅋ
P0 	: 줜아 매운...ㅠㅠㅠ
P1 	: 내가 독자였음 울었다...(ㅈㄴ)
P1 	: ㅠㅠㅠㅠㅠㅠㅠㅠ그니까...ㅠ.ㅠ.ㅠ.ㅠ.ㅠ.ㅠㅠㅠㅠㅠㅠㅠㅠ
P0 	: 그래서 한때 그런 무난한 전개의 작품에 샤이닝로드 엔딩 나는거 아니냐고 댓글 막 달리고
P0 	: 사람들 비슷한 작품 하차하려고하고
P1 	: 나... 어떤 작품이던 이런 식의 결말이 가장 충격인듯 당연하지만...ㅠ.ㅠ.ㅠ.ㅠ.ㅠ..ㅠ
P1 	: 아니
P0 	: 작가들이 공지로 그 엔딩 안낸다고 써주기도 했대
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 아니 어떡해.....얼마나 충격적이었으면..ㅋ.ㅋ.ㅋ..ㅠ...ㅠㅋ..ㅋ.ㅋ
P0 	: 응...
P0 	: 이때까지 주인공이랑 쌓았던 감정들이
P0 	: 사실은 없었습니다
P0 	: 가 너무 슬픈거 같애
P1 	: 그렇게 무난하고 평화롭게 전개한 것도 마지막의 반전을 위해서였겠지...?작가진짜싸패....
P1 	: ㅎ ㅏ..........................
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그니까...그 기승전이 잘 짜여지고 이입되는 이야기였으면 더....
P0 	: 이정도로 잘쓰셨는데 엔딩을 그렇게 내셨으면...지금은 필명바꾸셨겠어요...생각들더라
P1 	: 그치.... 이슈가 너무 커서 같은 필명 쓰긴 어려울듯..ㅋ..ㅋ.ㅋ.ㅋ.ㅠㅠㅠㅠㅋ.ㅋ.ㅋ.ㅋ.ㅋ.
P1 	: 나...약간 이런 류의 작품 소개에 끌리는 것 같애
P1 	: 한번 보고 싶네(??????)ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 뒷통수작품<이런거일부러찾아보는편
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개웃겨
P0 	: 알면서 보는 사람은 그냥 잘 썼네 싶대
P0 	: 근데 연재작이죠?
P1 	: 와.....ㅠ.ㅠㅠ.ㅠㅠㅠ..ㅠㅠ.ㅠ.ㅠ.ㅠ.ㅠㅠ.ㅠㅠ
P1 	: ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
P1 	: 작가진짜나빳다....
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 나... 요즘 이런 통수물들이 끌려서
P0 	: 정말 무서운 작가야...
