# FILE DATA
ID : MDRW2100043634
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 제가 먹은 음식은
P1 	: 김치찜입니다!
P1 	: 답답하셨죠ㅠㅠ
P0 	: ㅋㅋㅋㅋㅋㅋ안돼~~~~~~
P0 	: 못 맞추다니 분하군요
P0 	: 쒸익
P0 	: 그럼 제가 어제 점심으로 뭐 먹었는지 맞춰보세요
P1 	: ㅋㅋㅋㅋㅋㅋ재밌었어요 히히
P1 	: 네! 우선 양식인가요?
P0 	: 네! 아니 처음부터 훅 들어오시네요
P0 	: 양식이랍니다
P0 	: 벌써 힌트를 하나 내 주다니 ㅂㄷㅂㄷ
P1 	: 오오오 시작이 좋네요>_<
P1 	: 면이 들어가나요?
P0 	: 네! 면도 들어가요
P0 	: 아니 답 다 알려줘브렀네
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 소스가 하얀색인가요?
P0 	: 아니요! 흰 소스가 아닙니다
P1 	: 오 그럼 빨간 편인가요?
P0 	: 네! 맞습니다 너무 빨리 맞추시잖아욧!
P0 	: 거의 다 왔어요ㅎㅎ
P1 	: 괜찮아요 그저께 점심도 있잖아요!!!
P0 	: ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ맞아요
P1 	: 토마토가 들어가나요?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ네!!!!!!!!!
P0 	: 다 왔다~!!!!
