# FILE DATA
ID : MDRW2100044747
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 50억대
P0 	: 파산이겠는데?
P1 	: 근데 걔가 주장한
P1 	: 무슨 여자 관련 루머가
P1 	: 진짜 입만 턴거였나봐
P1 	: 증거 제시 못해서 패소로 완전히 기울었다는데
P0 	: wow...
P1 	: 그런데
P1 	: 갑질까지 터지니까
P1 	: 옹호론자들마자
P1 	: 와우 그건아니지
P1 	: 이러다가
P1 	: 눈물의 ㅁㅁ쇼를 하면서
P1 	: 자기 잠정 은퇴한다고?
P1 	: ㅋㅋㅋㅋㅋ아니 이ㅔ 감빵가셔야죠
P1 	: 무슨소리하는거야
P0 	: 은퇴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 자기가 평범한 인생을 살아온 줄 아네
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그 누구보다도 서래기 같은 인생을 살아와놓고
P0 	: 일단 가세연 채널만으로도
P0 	: 님은 선넘었는데요
P1 	: 이제와서징징
P1 	: ㅋㅋㅋㅋㅋ아
P1 	: 가세연에서 먼저 손절함
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ김용호
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아진짜??
P1 	: 버러지들끼리 북치고 장구치고
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 코메디찍에
P0 	: 네
P1 	: ㅇㅇㅇㅇㅇ 가세연에서 잘렸는데
P1 	: 자기가 그만둔것처럼
P0 	: 정말...
P0 	: 가지가지 한다
