# FILE DATA
ID : MDRW2100023627
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 그럼 콘서트도 가보셨나요?
P1 	: 콘서트는 아뇨... 사실 아이돌을 그렇게 깊게 파본적이 없어서
P1 	: 뮤지컬은 많이 봤어요.
P0 	: 뮤지컬은 어떤거 보셨어요?
P1 	: 어.... 많이요... 걍 매달 4-5번은 보네요...ㅎㅎ
P0 	: 와..엄청 많이 보시는구나..
P0 	: 뭐봤다고 얘기하기도 너무 많겠네요
P1 	: 네...ㅎㅎ
P1 	: 가장 최근에 본건 레드북이요
P1 	: 안산 선수도 봤다는 그 공연!
P1 	: 심지어 같은 회차를 봤는데!
P0 	: 와 진짜요? 대박이네요!
P0 	: 무슨 내용이에요?
P1 	: 음... 영국 빅토리안 시대가  배경이구요
P0 	: 네!
P1 	: 안나라는 여주인공이 글쓰는데 재능이 있어요
P1 	: 그리고 예전에 사랑했던 사람도 있고 연애나 스킨쉽에 관심이 많고 적극적인 편이죠
P1 	: 그래서 안나가 자신의 연애경험등을 솔직하게 글로 펴내고 그게 히트를 치는데요
P1 	: 딕존슨이라는 놈이 여자가 그런글을 쓰니까 쉬운사람으로 보고 추행하려하고 안나는 그놈을 응징하죠
P1 	: 그런데 그놈이 조용히 찌그러지지않고 자기 인맥등을 총동원해서 여자가 감히 그런글을 쓰네, 말세네 뭐네 하면서 여론을 호도하고 법정에 고발하고 그럽니다
P1 	: 그 위기를 안나는 극복하구요.
P1 	: 주 줄거리만 거칠게 요약했는데 존잼이에요.
P1 	: 눈물도 울컥 나고요
P0 	: 여성중심 서사 같아서 재밌을거같아요
P1 	: 맞아요!
P0 	: 기회되면 한번 봐야겠네요
P1 	: 주요 장면이 유튜브에 좀 있을거에요
P0 	: 오호! 유튜브 한번 찾아봐야겠네요
