# FILE DATA
ID : MDRW2100027735
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 전 코어에 힘준다 자체를 못느꼈어요
P0 	: 최근에야 조금.. 조금 알거같은데
P0 	: 일대일로 한 삼사십회 하고서야 알게된게 얼탱이가없고 ㅋㅋㅋㅋㅋㅋ
P1 	: 필라테스는 초보는 무조건 1대1하라고 해서
P1 	: 1대1 받기는 했는데 진짜 좀 내가 배운것에 비해서 들인 돈이 너무 큰 기분이에요ㅜㅜ
P0 	: 저 진짜 회당 6만원짜리 호흡 연습하다가 오는 것 같아요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 내 시급과 선생님의 시간당 레슨비ㅜㅜ
P1 	: 진짜 다양한자세로 숨쉬다 오는데 돈을 얼마나 쓰는지ㅜㅜ
P0 	: 다양한 자세로 숨쉬다 오깈ㅋㅋㅋㅋㅋㅋ
P0 	: 하 정말 맞아요
P0 	: 피티도 배워보고싶은데 저 가르치는 강사님이 저는 헬스하면 다칠거라고 하더라구요
P0 	: 너무 못하거든요 저..
P0 	: 맨날 아프다고 징징대고..
P1 	: 헬스 트레이너 중에서도
P1 	: 물리치료사 자격증 있는 분들 있더라고요!
P1 	: 그런분들은 무리한 동작 안시키고 이리저리 봐주시긴 해요
P0 	: 근데 진짜 잘만나여하는거같아요
P1 	: 저도 몸이 종합병원이라ㅋㅋ 공감됩니다
P0 	: 운동 트레이너들 같은 경우에 진짜 걍 몸좋아서 된 사람들이 너무 많아서
P0 	: 지금 필라테스 시작할때도 꼭 물리치료사 출신으로 연결해달라고
P0 	: 백번 말했어요
P0 	: 제가 다른 그룹운동하다가 다쳤던 경험이 있어서
P1 	: 아이고...
P0 	: 일대일, 물리치료사 출신 이 두개를 중요하게 생각해요
P1 	: 진짜 몸 좋아서 트레이너 많다는 말 백번 공감합니다
P1 	: 가끔 좀 크게 지어놓은 번듯한 헬스장 가면
P1 	: 잘생긴 남자애들이 약간 작업걸듯이 영업하는거 ㅜㅜ 정말 신뢰가 안가더라고요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 지금은 좋은 이미지로 바뀌었지만 그래서 나온 단어도 있잖아여...
P0 	: 진짜 운동은 트레이너 잘만나는게 80퍼 인거같아요
P1 	: 전에 정말 잘 해주시던 선생님이 있었는데
P1 	: 그런분들은 금방 스카우트 받으시더라고요ㅜㅜ
P0 	: 아 맞아요 그래서 트레이너 따라서 센터 옮기기도 한다더라구요
