# FILE DATA
ID : MDRW2100030965
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 나도
P1 	: 난 햄스터
P1 	: 페럿두
P0 	: 우리 나중에
P0 	: 같이살면
P0 	: 꼭. . 지리는 경제적 여유를 갖추고
P0 	: 강아지햄스터페럿고양이어쩌고들을
P0 	: 지리는 복지로 돌봐주자고
P1 	: ㅋㅋㅋ
P1 	: 햄스터랑 고양이 페럿 같이 키우먼
P1 	: 천적을 같이 놔두는거인데두요
P0 	: ㅋㅋ
P0 	: 각자 다른방에서
P0 	: 키우자고.
P0 	: 물론. .햄스터랑 페럿은
P0 	: 예린이 주관이겟지만
P1 	: ㅋ
P1 	: ㅋ
P1 	: 가보자고
P0 	: 이름은 뭐로짓지
P0 	: ㅋㅋ 리트리버 키우고 콩이로 짓기
P1 	: ㅋㅋ
P1 	: 가보자고
P1 	: 햄스터는..
P1 	: 세진이
P0 	: ㅋㅋ
P0 	: 뵤
P0 	: 고양이는. .
P0 	: 뭐로짓지
P0 	: 검은고양이 키우고 석탄이로 짓기
P1 	: ㅋ
P1 	: ㅋ
P1 	: ㄱ여움
P0 	: 하..
P0 	: 대화 또뭐로 채우지
P0 	: ㅋㅋ
P1 	: 글게
P1 	: ㅋㅋ
P1 	: 일단 반려동물이
P0 	: 근데내가
P1 	: 되긴하는지
P0 	: 숨겨진알레르기가잇다면?
P1 	: ㅋㅋㅋ
P1 	: 사실 털알레르기가 있다면?
P0 	: 그럼..
P0 	: 난어뜩해그냥 코막고 벅벅긁으면서
P0 	: 귀여운털덩어리들과 함께할거야
P1 	: ㅋㅋㅋ
P1 	: 암
