# FILE DATA
ID : MDRW2100033486
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 좋다
P0 	: 님 이건 용서 못한다하는 행동 있나요?
P1 	: 날 욕하는거
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 길에 침뱉기 VS 밥먹으면서 트름하기
P0 	: 아놔 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아나 길 침
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 트름은 뭐랄까 생리현상이잔아요
P0 	: 식당에서 트름해도....전자?
P1 	: 쓰읍
P1 	: 얼굴에 하나요?
P1 	: 그럼 좀
P0 	: 근데 저도 길캭퉤긴하거든요 네
P0 	: 식당 사람 많은데 막
P0 	: 용트름.
P1 	: 모르는 척은 할 것 같아요
P0 	: 아 근데 진짜 저런사람이면 애시당초 안만나실거 같긴한데 아놔
P1 	: 그니까 나랑 안온척
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 근데 막 앵겨붙으면요?
P0 	: 같이온거 티내기.
P0 	: 그래도 전자인가요?
P1 	: 아나
P1 	: 그래도 전자입니다
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아 그럼 이정도까지는 애교로 봐줄 수 있다 이런거 있나요?
P0 	: 예를들면.....음....
P1 	: 영화관에서 놀라는 장면마다 놀라서 앞 사람한테 팝콘 던지는 남친 vs 영화관에서 놀랄때마다 손 번쩍 들고 일어서는 남친
P0 	: 아 씁
P1 	: 같이 영화 볼 남친은?
P0 	: 같이.......하 전자요.
P1 	: ㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 하 안돼...
P1 	: 근데 팝콘 던질때마다 슈팅팝팝 소리가 나도 전자인가요
P0 	: 아 저 후자요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 던질때마다 투척~! 이래고?
P1 	: 아 넵ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅁ
P0 	: 죄삼다~~~! 하고 뒷분들께 고개 숙일게요 제발
P0 	: 투척진짜끔찍하다 중간에집가야지
P1 	: 같이 일어나서 VR롤러코스터인척하기는요?
P0 	: 길에서 담배피면서 가오대박남친 VS 완전소심해서 사람만 보면 뛰어가버리는 남친
	  누가 더 싫나요?
P0 	: 아
P0 	: 저는...전
P0 	: 저는....저...
P0 	: 하 씁 집에갈래요 보내주세요
P1 	: 아나 전 후자요
P1 	: 저한테는 안도망가죠?
P1 	: ^^7
P0 	: 님이 큰 소리내면 런합니다
P1 	: 속삭이면요?
P0 	: 조금이라도 목소리 커지면 헉하면서 도망
P1 	: 그게 더 이상한것같은데
P1 	: 데시벨 몇까지 허용인가요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 책넘기는 소리 정도?^^;
P1 	: 쓰읍...
P0 	: 거의 asmr
P1 	: 숨만쉬어도 도망가는거 아닌지
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그래도 후자인가요?
P1 	: 후자.
