# FILE DATA
ID : MDRW2100016800
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 남성
birthplace : 충북
principal_residence : 충북
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 남친말고 동물은 안키우시나여?
P1 	: 동물에 관심없어요
P1 	: 책임감이 무서워서
P1 	: 나이들고 시간 많이 보낼수있을때 키우고싶어요
P0 	: 멍멍이 안귀여워요?
P0 	: 고양이 안귀여워요?
P0 	: 메마르셨네요..
P1 	: 귀여워요
P1 	: 그래서 나이들면 책임질수잇을때 키우고싶어요
P1 	: 강아지!!
P0 	: 예전에 키워본적은 없어요?
P1 	: 없어요ㅎㅎ
P1 	: 반려동물키우세요?
P0 	: 저도.. 저하나 키우기도 벅차서...
P0 	: 근데 동물 음청 좋아해용..
P0 	: 털 달린거 다 이뻐요
P1 	: 진짜 귀엽져ㅜㅜ
P1 	: 에버랜드에서 팬더보고 심쿵해서
P1 	: 유툽찾아보고막 ㅠㅠ
P1 	: ㅋㅋ저도 제몸하나 건사하기 힘들어요ㅋㅋㅋㅋ
P0 	: 팬더 진짜 엄청 귀옂됴..
P0 	: 랫서팬더는 100프로 취저
P1 	: 랫서팬더도 하 귀여움 찢엇어요
P0 	: 일본에선 랫서팬더 키울 수 있는거 같더라구요. 집에서..
P1 	: 신기방기 ㅋㅋ
P1 	: 어떻게 그렇게 귀엽게생긴건지
P1 	: 쿼카도 귀엽던뎅
P0 	: 그거 똥 네모난거요?
P1 	: 쿼카똥은 모르겟는데ㅋㅋㅋㅋ
P1 	: 귀엽더라구요
