# FILE DATA
ID : MDRW2100007979
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 경남
current_residence : 부산
device : 스마트폰
keyboard : 기타

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 가장 기억에 남는 여행지 있으세요~?
P1 	: 전 아무래도 서울이 좋았어요ㅎㅎ
P1 	: 먹을거 볼거 제일 많은 곳이라서 ?
P0 	: 아아~ 서울에서 어디가 기억에 남으세요??!
P1 	: 저는 지방에 살아서 바다나 강을 보는게 힘들거든요ㅋㅋ
P1 	: 봄에 여의도 공원??
P1 	: 벚꽃이 엄청 피어서 너무 예뻤어요 ㅍㅎㅎㅎ
P0 	: 아~ 저도 바다보는게 쉽지않아서 바다보면 기분이 좋더라구요 ㅋㅋㅋ
P1 	: 맞아요ㅜ 특히 동해!!!
P0 	: 벚꽃은 석촌호수도 진짜 이쁘고 여의도공원은 길따라서 쭉~~ 있어서 힐링 ㅋㅋ
P1 	: 근데 사람이 너무너무너무 많더라구요........ㅋㅋ
P0 	: 아 맞아요~~ ㅋㅋㅋㅋㅋ 사람따라 걷는ㅋㅋ
P1 	: 사진 하나 건지기가 좀 힘들더라구요ㅋㅋㅋㅋㅋ
P1 	: 원래 서울 사람만은건 알고있었지만
P1 	: 거기다몰린거같았어요 ㅋㅋ
P0 	: 평일 낮에가도 사람이 많아서 다들 뭐하는 사람인가 했어요 저도 ㅋㅋ
P0 	: 올해는 석촌호수 문닫기전에 갔었는데 진짜 사람따라 걷다왔어요.... 어휴
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 거긴 사진으로 많이 봤어요ㅎ
P1 	: 롯데월드있는곳맞죠??
P0 	: 네네 ㅋㅋㅋ 롯데월드랑 거의 붙어있어요~ 월드타워있고
P1 	: 지방인에게 롯데월드는 어렸을때 너무 꿈이였어요ㅎㅎ
P0 	: 엊그제 갔었는데 그래도 코로나4단계라 그런지 사람은 많이 줄었더라구요!
P0 	: 아 롯데월드를 간게 아니고 월드몰이랑 석촌호수 걸었어요 ㅋㅋ 괜히 혼자 흠칫
P1 	: 저도 순간 착각했네요ㅎㅎ
P1 	: 그래도 좋았겠어요!!
P0 	: 롯데월드는 서울에 살아도 자주 갈수있는곳은 아니었죠ㅜㅜ 아는분통해서 할인받아가고 그런거 아니고서야ㅠㅠ
P1 	: 그래도 이번에 부산에 롯데월드 개장해서
P1 	: 기대하고 있습니다ㅎㅎ
P0 	: 저는 사실 지하철타면 10분정도 걸려서 중학생땐 애들이랑 연간권끊어서 학교끝나면 놀러가고 했던거 같아요 ㅎㅎ
P0 	: 이제 부산시설이 더 좋을듯요!!! 여긴 이제 수리보수 계속 해야할거같아요 ㅎㅎ
P1 	: 올 10월인가 개장이라서 곧 이에요!!
P1 	: 근데 사람이 너무 많을거같아서...ㅎㅎㅎㅎ
P0 	: 진짜 그럴거 같아요! 처음에 몰리는거 빠지면 가세요~ ㅋㅋ
P1 	: 그래서 친구들이랑 날짜를 노리고 있습니다ㅋㅋㅋ
P0 	: 저는 옛날에 내일로 여행 간적있는데 순천에서 부전으로 넘어간적 있었거든오
P0 	: 사람들이 타고 내리고 하면서 점점 달라지는 사투리를 들으면서 다른 지역으로 이동하고 있는게 온몸으로 느껴지더라구요 ㅋㅋ
P1 	: 사투리ㅋㅋㅋㅋㅋ
P1 	: 차이 많이 나나요???
P0 	: 아예 다르잖아요~ ㅋㅋㅋ 전라도 사투리랑 경상도 사투리랑 ㅎㅎ
P1 	: 전 이사를 많이 다녀서 ㅋㅋㅋㅋㅋ
P0 	: 그때 서울에서 남원 전주 순천 .. 또 다른지역있었나? 하튼 그렇게 찍고 내려오면서 순천에서 부전으로 이동했었거든요~
P0 	: 진짜 느낌이 확 다르더라구요
P1 	: 재미있었겠어요ㅋㅋㅋ
P1 	: 신기하기도 하고ㅋㅋ
P0 	: 재미있었어요~ ㅋㅋ 내일로티켓이 연령제한이 있어서 그렇지ㅜㅜ 없었으면 계속 다녔을것 같아요.
P1 	: 여행 좋아하시나봐요???
P0 	: 여행은 언제나.... 환영 ㅎㅎㅎ 근데 국내여행은 즐기는 편은 아니에요. 그냥 내일로 기차여행했던 기억이 좋아서~~
P0 	: 그 서비스를 이용할수있었다면 계속 다녔을거 같아요 ㅎㅎ
P1 	: 기차여행은 괜히 마음이 들뜨라구요ㅎㅎ
P1 	: 자주이용안해서그런지ㅎㅎ
