# FILE DATA
ID : MDRW2100022364
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 다음 도서신청때 전자책 들여놔달라고 해야겠다
P1 	: 응
P0 	: 타자가 안쳐진데
P1 	: 난 폰이 멀쩡한데도 타자가 안 쳐져
P1 	: 이게 렉이 좀 걸리나봐
P1 	: 컴으로 되면 좋은데
P1 	: 폰이라 렉이 두 배!
P1 	: 검색해봤는데 아쉽게도
P1 	: 피프티피플이란 책은 없다
P1 	: 안은영도 없네?
P1 	: 뭐냐 도서관
P1 	: 아 저번 도서신청기간때 이갈리아 신청했는데
P1 	: 아직도 응답 대기중이야
P1 	: 나 말고도 이갈리아 책 신청한 사람 많은데
P1 	: 다 응답 대기중인 거 이상하네
P1 	: 작년부터 계속 신청하는데
P1 	: 왜 안 받아주지
P0 	: 낟 폰
P0 	: 맛이 상당히갔네
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 테이스트 이즈 곤
P1 	: 진심 pc버전 있었으면 좋겠다
P1 	: 너는 책 볼때 어떤 플랫폼으로 읽어?
P0 	: 나는 리디북스로 많이 봐
P1 	: 그렇구나ㅎㅎ 알라딘서적도 써봤니?
P0 	: 아니 알라딘은 싫어서 안써
P1 	: 그래? 그럼 예스 24도 안 써봤어?
P0 	: 알라딘이 책팔려고 쓰는 마케팅 방법이 싫더라
P0 	: 응 안써봤어
P1 	: 아 정말? 알라딘 마케팅이 별로인가보구나
P1 	: 최근에 뭐 읽었어?
P0 	: 나 최근에 보건교사 안은영
P0 	: 넌 읽고싶은책 있니
P1 	: 나도 보건교사 읽어보고싶어
P0 	: 이 책 많이 추천해
P1 	: 얼른 전자도서관에 들어왔으면 좋겠다 ㅎㅎ
P1 	: 추천해준 거니 얼른 읽어보고싶어
