# FILE DATA
ID : MDRW2100030239
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 식음료

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 단모음

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  가족>형제자매
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 냉장고는 뭘로 채워져있는게 좋아?
P1 	: 1. 맛있는 음료수로 채워져잇다
P0 	: 음.. 냉장고가 고기로 채워져잇으면
P1 	: 2. 과자로 채워져잇다
P0 	: 되게만족스러울것같애 ㅋㅋ
P1 	: 고기는 일부러 뺏어
P1 	: 밸런스 파괴잖아
P0 	: 그럿구만 ㅜ 그게 중요한디
P0 	: 난 1번 ㅋㅋ
P0 	: 과자는 안시원해도 맛잇어
P0 	: 음료수는 시원해야지 ㅋㅋ
P1 	: 흠.. 그렇지만 무한대로 나온다는게
P1 	: 중요한거아냐?
P0 	: 그런감?
P0 	: 머 각자 좋아하는게 다르갯지 ㅎㅎ
P1 	: 웅 음료수는 뭐든지 거기서 거기지만은 과자는
P1 	: 여러종류 먹음 좋자나 ㅎㅎ
P1 	: 그럴수있지 ㅎㅎ
P0 	: 이런 사고방식!!!!!
P1 	: ㅋㅋㅋㅋㅋ
P0 	: 난 음료수는 커피가 좋아ㅋ
P1 	: 젤 좋아하는 과자는 모야?
P0 	: 감자칩이 좋와
P0 	: 넌?
P1 	: 그첳구나!!
P1 	: 난 사과파이
P0 	: 글쿤 ㅋㅋ
P1 	: 너무좋아
P0 	: 나두 좋아함
P1 	: ㅎㅎ
P0 	: 과자는 다 맛잇어
P1 	: 마자
P0 	: 얘기하니깐 먹구싶당
P1 	: 음식도 나라별로 특색이있잖아..
