# FILE DATA
ID : MDRW2100036854
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 그래 정말 쉬운게없구나
P1 	: 이래서 돈은 꽁으로 버는게 없네 ㅋㅋㅋㅋ
P0 	: 맞어 맞어 ㅋㅋ
P0 	: 언니 내 이제 좀 티비보면서 쉴게 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 좀따가 또 톡합세 ㅋ 폰과 멀어질 시간이 되었다 ㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㄱ 그래 고생했다 ㅋㅋㅋㅋ 쉬어
P0 	: 얍얍 ㅋㅋㅋ 좀따 하자 ㅋㅋ
P0 	: 언니뭐하노ㅋ애들보나ㅋ
P1 	: 엉 놀이터갔다가
P1 	: 이제 집에와서
P1 	: 주스하나 마시고 센터가려고
P1 	: 좀 쉬었낭??
P0 	: 응응 오늘도 센터가네ㅋ
P0 	: 응 좀 쉬었엉 좋다ㅋ
P0 	: 애들데리고 나는 케이스마트가려고
P0 	: 거기서 놀고싶대서ㅋ
P1 	: 아하 놀라고 ㅋㅋㅋㅋㅋㅋㅋㅋㄱ
P1 	: 좋구먼 장도보고 놀고 ㅎㅎ
P0 	: 응 그러니깐
P0 	: 어제 우유사서왔는데
P0 	: 놀고싶다고 막해가ㅡㅡㅋㅋ
P0 	: 오늘도 데리고간다
P1 	: ㅋㅋㅋㅋㅋㅋㅋㄱㅋㄱ 좋다이
P1 	: 담엔 거기 놀러를 한번 가봐야겠노
	  ㅋㅋㅋㅋㅋㅋ
P0 	: 응응 ㅋㅋㅋㅋ 좋지좋지 ㅋㅋ지오재우니 이시간ㅜㅜㅋㅋ
P1 	: 웁스 태권도라도 보내야 되나
P1 	: 비오네 또
P0 	: ㅋㅋㅋㅋㅋ진짜 뭐라도 보내야되는지ㅋㅋ
P1 	: ㅋㅋㅋㅋㄱ 그래 얼집으로는 부족하다
P1 	: 트램폴린을 사라 그냥 ㄹㅋ
P0 	: ㅋㅋ 그래야되나 고민이다 아놔ㅋㅋ
P0 	: 쉽지않다 에너지빼기ㅋ
P1 	: ㅋㅋㅋㅋㄱ 그래 그때 경미언니집에 트램폴린 작은거 있드만
P1 	: 지오는 뭐라도 해야겠다
P1 	: 얼집에서 낮잠은 자나
P0 	: ㅋㅋㅋㅋ응낮잠은잔대ㅋㅋ
