# FILE DATA
ID : MDRW2100008415
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 일상 트렌드>AI 학과 대세

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 충북
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P0 	: AI 좋아,, 진짜 과학이란 너무 매력적인것
P1 	: AI?
P1 	: 재미있지
P1 	: 어려울뿐..
P0 	: AI배우고있어? 나는 배우는건 포기해서
P0 	: 우리학교 그 과도 AI관련과 이고
P0 	: 대세 맞는듯 AI
P1 	: 배우고있다고 해야하나? 발만 걸치고있어
P0 	: 어떻게 배우는데??
P1 	: 독학이지 뭐 나름 언어를 얇고 많이 배워놔서
P0 	: AI가 독학이 가능한가?
P0 	: 학과 에서 배워야하지않나
P1 	: 어차피 머신러닝 딥러닝 쪽이잖아
P1 	: 그니까 완벽하게 배운다고는 말 못하고 그냥 발만 걸치고 있다고 하는거지 뭐..
P0 	: 웅웅 뭐만든 프젝 있어?
P1 	: 아니 ㅋㅋㅋㅋ있으면 프프젝 고민 안하지
P1 	: 그냥 코드 던져주면 대강 이해할 정도
P1 	: 걸쳤다니까ㅎ
P0 	: 프프는 AI랑 완전다르자낰ㅋㅋㅋ근데
P0 	: 요즘 AI넘나 똑똑쓰
P0 	: 자동차도AI가 대세던데
P0 	: 대학다시간다면 AI학과 넣어볼듯ㅋㅋㅋㅋㅋㅋ
P0 	: 취업도 잘될것같아
P1 	: ai도 c로 할 수 있으니까 뭐
P1 	: 근데 그만큼 경쟁이 치열하긴하더라
P0 	: 파이썬 안쓰나?? 파이썬인줄!
P0 	: C++은? c를써?
P0 	: 왜징!!?
P1 	: 다 써
P1 	: 파이썬으로 하는게 가장 쉽지
P0 	: 음 글쿠나!
