# FILE DATA
ID : MDRW2100033455
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 혹시 애로 부부 이런것도 보시나요?
P1 	: 아뇨 ㅋㅌ
P1 	: 한번도 못봤러요
P1 	: 근데 맨날 채널 돌리면 나와요
P1 	: 그거 사랑과 전쟁 같은건가요?
P1 	: ㅋㅋ사랑과전쟁 다봤는데
P0 	: 네 비슷해요.. ㅋㅋㅋ
P0 	: 진짜 상상도 할수 없는 이야기들이 나와요 ㅎㅎ
P1 	: 그런거 같더라구요 ㅋㅋ
P0 	: 사랑과 전쟁도 예전에 본방사수였는데
	  유튜브에도 많더라구요 ㅎㅎㅎ
	  다시 다 보고 그랬네요 ㅎㅎ
P1 	: 한번 봐야겠네요
P1 	: 맞아요
P0 	: 네 재밌어요
P1 	: 막장 진짜 잼나요 법원에서 판결도 실감나고 ㅋㅋ
P0 	: 그죠 ㅋㅋ
	  사랑과 전쟁 최근거보다 제일처음 나온것들이 더 재밌더라구요
P1 	: 맞아요
P1 	: 항상 점점더 갈수록 영 아니예요
P1 	: 그래서 1편보다 나은 2편 없다 하나봐요
P0 	: 네네 ! 그걸 팬트하우스 보면서도 느겼어요
P0 	: 느꼈어요!
P1 	: 맞아요
P1 	: 이게 요번주 ㅋㅋ완전 멘붕이였어요
P0 	: 이번꺼는 ㅋㅋㅋㅋ 정말.. 정말 말도 안되게 내용이
P1 	: 그렇죠 진짜 마지막 엔딩도
P1 	: 그게 뭐래요
P1 	: 참나 배위로
P1 	: 갑자기것도
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ급 생각났네요 ㅋㅋㅋㅋ
P0 	: 코미디인줄...
P1 	: 저도요
P1 	: 다들 그렇군요
P1 	: 저도요 어이가 없어서 생각나요
P1 	: 김소연이 불쌍하게 느껴졌러요
P0 	: 그나마 팬트하우스 1.2편은 한편한편 기다려졌는데...
P0 	: 폭발에서 살아남는 것도 그렇고...
P1 	: ㅋㅋ헛웃음나죠
P1 	: 말도 안되긴해요
P1 	: 근데 또봐요 ㅋㅋ
P0 	: 맞아요........ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그러면서 블새2020도 다 챙겨보고
P1 	: ㅋㅋ그건 전보다가 넘길고 패스 했어요
P0 	: 그래도... 그건 매일 퇴근후에 바로바로 봤어요 ㅎㅎ
P1 	: 아 그래요 그럼 안밀리고 봤겠어요
P0 	: 아침드라마나 막장인 맛에 봐야죠 ㅎㅎ
