# FILE DATA
ID : MDRW2100002459
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 최근에 뭐 구매하신 거 있으세요?
P1 	: 아 저는 최근에 운동화를샀어요!
P1 	: 구매하신거있으신가요?
P0 	: 오 어떤 운동화 사셨어요?
P0 	: 저는 최근에 지플립 사전예약했어요!!
P0 	: 자랑하고싶었어요,,ㅎ
P0 	: 근데 폰이 안와요..
P1 	: 저 나이키운동화요ㅎㅎㅎ
P1 	: 와 너무해요ㅠㅠ저도그거사고싶은데
P1 	: 무슨색사셨나요?
P0 	: 저 크림색이요..!!
P0 	: 색 다 예쁘게 나온 거 같아요ㅠㅠ
P0 	: 저는 나이키 데이브레이크 갖고싶어요..
P1 	: 오 크림색좋네요
P1 	: 데이브레이크는 뭐죠?!
P0 	: 나이키 운동화인데 좀 유명한 라인같더라고요!!
P0 	: abc마트에서 봤는데 반했어요ㅠ
P1 	: 오 좋네요ㅋㅋㅋ
P1 	: 저는최근에
P1 	: 갤럭시워치 사고싶더라구요
P0 	: 헐 저도요
P0 	: 인바디 된다는 게 너무 신기해요
P0 	: 평소에 스마트워치 사용하시나요?
P1 	: 저 갤워치 액티브2있거든요ㅋㅋㅋ
P1 	: 근데그거40마넌주고산건데
P1 	: 갤워치이번거
P1 	: 20망눤??이러더라고요
P0 	: 헐 저도 액티브 2 써요 ㅋㅋㅋㅋㅋ
P1 	: 어이없어요ㅠㅜㅠ
P1 	: 헐대박ㅋㅋㅋ
P0 	: 맞아요 이번 거 되게 사고싶어요ㅠ
P0 	: 디자인도 더 시원시원한 느낌인데 기능도 좋고
P0 	: 제 갤워치 액티브2는 잔고장이 너무 잘나요ㅠㅠ 잘안쓰는데도..
P0 	: 심전도 기능 고장으로 수리만 두번 받았는데 또 고장났어요ㅠ하
P1 	: 제말이요ㅋㅋㅋ 액티브2보다 훨씬싸더라구요 인바디도되고 카톡도잘되고
P1 	: 헉 고장이나셨군요
P1 	: 이번에도 삼페기능은
P1 	: 없죠????!
