# FILE DATA
ID : MDRW2100030880
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 경북
principal_residence : 대구
current_residence : 경남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 새우 머리튀김인데 ㅋㅋ메뉴에
P1 	: 마빡튀김이라고 명기?해놨습니다
P0 	: 아ㅋㅋ 새우머리튀김 맛있죠!!
P0 	: 몸통 말고 머리만 파나요ㅋㅋ
P1 	: 처가에 와서 답장이 늦었너요 ㅠ 죄송
P1 	: 머리만 튀겨 주시더라구요
P1 	: 호불호 있는것 같아용
P0 	: 어...저는 새우머리도 좋아하지만
P0 	: 몸통이 없는건 용서가 안되는데요
P1 	: ㅋㅋㅋㅋㄱㅋ
P1 	: 몸통은 없어유
P1 	: 황금 처가집 다녀왔습니다
P1 	: 방금
P1 	: 오늘 즐거운 식사 많이 하셨나요
P0 	: 오늘은 출근하는고로ㅜ 적당히 떼웠습니다
P0 	: 님은 오늘도 &name3&님이 솜씨를 발휘했나요!
P1 	: 아 출근하셨구나
P1 	: 오늘 저녁은 홍 라면입니다
P1 	: 저녁을 못 먹었어요
P0 	: 왜 못 먹었나요ㅜ
P0 	: 처가집 다녀와서 피곤하셨나봐요ㅜㅇㅜ
P1 	: 둘다 자기 할거한다고 ㅋㅋ
P1 	: 저는 머리 깍고
P1 	: 와이프는 네일했서요 ㅋㅋ
P1 	: 그래서 피곤한듯 ㅋㅋ
P1 	: 오늘 일 많으셨습니까
P1 	: 마감때문에 가신거세요?
P0 	: 네ㅎㅎ 월요일에 신문 나오니
P0 	: 조금 엇박자로 일합니다
P0 	: 머리는 커트만 하신 건가요?
P1 	: 아 고생하셨습니다
P1 	: 뽁았는데여
P1 	: 아줌마같습니다
P1 	: 제가 약간 아줌마 상인데
P1 	: 자아성찰좀 하고올게요
P1 	: 앜
P1 	: 악!
P0 	: 아ㅋㅋㅋ 사진 보내기 기능 언제 되남요ㅋㅋ
P1 	: 제가 다이어트 시켜드리는건가요?
P1 	: 입맛 안드로메다인데
P1 	: 보시면 ㅋㅋㅋㅋ
P1 	: 사진 보내기
P1 	: 된대요?
P1 	: 아 진짜 됐으마 좋것는데
P1 	: 안해줄드싶어요
P1 	: 식사는 하셨서용?
P0 	: 지금 귀가중이요
P0 	: 에너지바 먹음서 일해서ㅎㅇ
P0 	: 이제 집가서 포식할 거예요!!
