# FILE DATA
ID : MDRW2100027083
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 식음료

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 경기
device : 스마트폰
keyboard : 기타

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 아침은 챙겨먹는 편인가요?
P1 	: 저는 아침챙겨먹어요
P1 	: 식단하는 중이라
P0 	: 그렇군요.. 저희 식구들도 아침은 꼬박꼬박 먹죠..
P0 	: 그럼 점심은 사먹나요?
P1 	: 제가 보통 해먹어요!
P1 	: 제가 집에 있는 시간이 길어서
P1 	: 보통 해먹는편이에요
P1 	: 나갈일있거나 해도 도시락싸서다니구요
P0 	: 요리 좋아하는 군요! 저두요
P0 	: 외식보다는 집밥을 좋아하죠.. 주로 제가 요리하구요
P1 	: 오오 저도 요리 좋아해요! 엄청 잘하지는 못하지만
P1 	: 손도 엄청 큰데 해놓고 다못먹으니까
P1 	: 한번 요리할 때 주변에 나눠주가나 저장식품같은 걸 만들게 되더라구요
P0 	: 그렇군요.. 저도 손이 큰 편인데..
P0 	: 보통 손님 초대해서 해먹이는 거 좋아하는데
P0 	: 작년부터 그걸 못하니 슬퍼요
P1 	: 정말요 저도 만약 자취한다면
P1 	: 손님초대해서 조촐한 홈파티하는게 꿈인데
P1 	: 너무좋을것같아요
P0 	: 사람 불러서 먹이는 그 재미가 장난아니죠..
P0 	: 소소하게라도 모여서 교제하고 나눠먹는 그 재미
P0 	: 지금 그걸 못하니 너무 아쉬워요
P1 	: 저두 술좋아해서
P1 	: 좋아하는 사람들이랑 모여서 술마시는거좋아하는대
P1 	: 데
P1 	: 요새 많이 못했죠...ㅍㅍ
P1 	: ㅠㅠ
P1 	: 코시국되고나서 담금주 만들었는데 아직도 못뜯었어요
P0 	: 아이고.. 얼른 좋은 사람들과 나눠마셔야 할텐데요
P1 	: 그렇죠
P1 	: 아휴
P1 	: 저녁은 뭐드셨나요?
P0 	: 양념돼지갈비요
P1 	: 와
P1 	: 좋은거 드셨네요
P1 	: 좋겠다
P1 	: 저는 냉동실에있던 미역국 꺼내서 다시 끓여먹었는디
P0 	: 미역국도 맛있죠
P0 	: 이번에 지인이 10키로를 보내주는 바람에 급작스레 구워먹게 됐답니다.
P1 	: 와 좋은 사람을 주변에 두셨네요
P1 	: 부러워요 고기선물해주는 지인
P0 	: 커피 좋아하세요?^^
