# FILE DATA
ID : MDRW2100027964
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전북
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P1 	: ??팅구랑 성심당빵얘기중이라니까 엄마가 갑자기 너 성심당가본적잇대요
P1 	: 애기시절에...
P1 	: 진자어이업어
P1 	: 그걸..가봣다고 쳐도되는지
P0 	: ㅋㅋㅋㅋ
P0 	: 기억 못하면 무효예오!
P1 	: ㅋㅋㅋ그닉가요
P1 	: 암튼 진짜맛있는빵...먹고싶어요...
P0 	: 하레하레라는 빵집도 맛있어요
P0 	: 대전 동쪽의 성심당, 서쪽의 하레하레 라는 말이 있어요
P1 	: 와 멋지다
P1 	: 대구는 빵집이 진짜진짜 많은데
P1 	: 그렇게 딱 손에 꼽는데는 없거든용
P1 	: 되게머쉿다..
P0 	: 그래도 대구는 맛집 많지 않아요?
P0 	: 여기저기 많이 들어본 것 같아요
P1 	: 나름 빵지순례? 도 오구
P1 	: 모랄까 전반적으로 음식이 맛없진않은데..
P1 	: 딱 손에꼽게 맛있는데는 별루없는??
P1 	: 느낌이에요
P1 	: 이의견은지극히주관적견해이며어쩌구..
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 전체적인 수준은 높지만
P0 	: 이름난 맛집은 없는 그런 상태군요
P1 	: ㅋㅋㅋ넹 친구들 대구놀러온다하면
P1 	: 딱 두군데 추천해줘요
P1 	: 냠님도 대구에 놀러오시면 제가...쏩니다
P0 	: ㅋㅋㅋㅋ 그럼 &name2&님 대전 오시면 제가 쏠게요
P0 	: 벌써 5신데 저녁 뭐 드실거예요??
P1 	: 전 30분전에 점심을먹엇어여..
P1 	: ㅋㅋㅋㅋ&name1&님은 머드세욘 저처럼 삼김줏어먹지마시구 맛난거드셔라..
P0 	: 아 아까 본 사진이 점심이었군요
P0 	: 저는 지금 집 왔는데 아무도 없어서
P0 	: 뭐먹지 상태예요
P1 	: ㅠㅠ혼자드셔요?
P0 	: 부모님이 외출하셨어요
P0 	: 계룡산에 회초리 사러 가셨대요
P0 	: 아 계룡산에서 파는 호떡 맛있어요
P1 	: ㅋㅋㅋㅋ호떡 여름에두팔아요???
P1 	: 계룡산좋은곳이엇네..
P0 	: 휴계소같은 곳에 호떡맛집이 있대요
P0 	: 저는 맨날 사다주시는 것만 먹어서 식은거 먹었는데
P0 	: 식어도 맛있더라구요
P1 	: 회초리말구 호떡사오시길...
P0 	: 호떡 사오시길...
