# FILE DATA
ID : MDRW2100023180
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 원래는 한식이 아닌데 한국식으로 변한 것도 있어요
P0 	: k당했군요..
P0 	: 1인 1메뉴 음식인가요
P1 	: ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 네 그렇습니다 1인 1메뉴예요
P0 	: 밥이 들어가나요
P1 	: 네 원본도 한국식도 둘 다 밥이 있어요
P0 	: 원래는 일본식인가요?
P1 	: 네 맞습니다 일본식입니다!
P1 	: 두구두구
P0 	: 앗 덮밥!
P0 	: 덮밥이군요!
P0 	: 돈부리?
P1 	: 앗 아쉽습니다! 비슷합니다
P1 	: 비슷해요!!!
P0 	: 그럼 카레인가요?
P1 	: 아닙니다 원본은 일본식이여요
P1 	: 아 제가 말을 잘못했어요
P1 	: 특정 돈부리랑 닮았어요
P1 	: 그 돈부리에 들어가는 재료가 메인입니다
P0 	: 그렇다면 돈가스이군요!
P1 	: 딩동댕!!!!!!!!
P1 	: 이번에 되게 빨리 맞추셨어요
P0 	: 점점 실력이 느나봐요 ㅋㅋㅋㅋ
P0 	: 제 최애음식 5대장이 있거든요
P0 	: 그 중에 하나는 타코구요
P0 	: 4게가 남았습니다
P0 	: 하나씩 맞춰보기 어떠세요
P1 	: 오 좋아요 좋아요
