# FILE DATA
ID : MDRW2100044877
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 경영/관리직
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 구매희망물건있으서요?
P0 	: 저 오늘 램프랑 거울 샀어요!!
P0 	: 아직도 남은 위시리스트는 가을 이불이요!!
P1 	: 램프?
P1 	: 향기나는거요?
P0 	: 아 그거말고 조명이요!!
P0 	: 탁상 조명ㅁ
P1 	: 아아
P1 	: 전 실반지샀어요
P0 	: 우와!! 저도 반지는 실반지 좋아해요 ㅋㅋㅋㅋㅋ
P0 	: 두꺼운건 제 손에 안어울려서ㅜㅜ
P1 	: 전 실반지가 안 어울리는데
P1 	: 사봤어요ㅋㅋㅋㅋ
P1 	: 마디가 두꺼워서 반지는 다 안어울려요,
P0 	: 저는 손가락이 짧아서 반지 잘안끼긴해여 ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그래도 악세서리는 ㅋㅋㅋㅋ안해도 사게되는 마력이 있죠 ㅋㅋㅋㅋㅋ
P1 	: 마자용ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 귀고리도 사고싶은게 많아요
P0 	: 저는 귀도 안뚫었거든요? 근데 종종 귀걸이 구경합니다 ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㄱㅋㅋㅋㅋ액서사리는 묘한 마력이 있어요
P0 	: 그니깐요 ㅋㅋㅋㅋㅋ 막상 사고 잘 하지도 않는데ㅜㅜ ㅋㅋㅋㅋㅋ
P1 	: 어떤종류의 귀고리를 주로 구매하시나요?
P0 	: 아 귀를 안뚫어서 구경만하고 구매는 안하구요 ㅋㅋㅋㅋㅋ이어커프는 몇개 샀어요!!! ㅋㅋㅋ
P0 	: 예전에 귀찌도 사봤는데 그건 귀가 너무 아프더라구요
P1 	: 전 귀를 뚫기는 해서 이거저거 하는데
P1 	: 아 이어커프는 저도 하고싶어요
P1 	: 귀찌 많이 아픈가요?
P0 	: 네 ㅜㅜ귀찌는 그냥 진짜 귀에 압력이라 ㅜㅜ너무 아파서 머리까지 아프더라구욬ㅋㅋㅋㅋ
