# FILE DATA
ID : MDRW2100012497
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 여행

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 여행 어디 다녀보셨어요?
P1 	: 여행은 정말 많이다녔네요ㅎㅍ
P1 	: 해외는 일때문에 가보고 국내는 여행동호회할정도로 많이 다녔어요ㅎ
P1 	: 여행좋아하세요?
P0 	: 가고싶은 여행지는 많은데 시간과 비용이 안되서 늘 후회해요
P0 	: 많은 여행 경험을 하셨네요
P0 	: 기억나는 여행이 어디인가요?
P1 	: 강원도 아닐까싶네요ㅎ
P1 	: 그때 5일정도 강원도 곳곳을 돌았어요ㅎㅎ
P1 	: 정선, 동해, 삼척, 뭐 이름만들어도 아는곳들ㅎㅎ
P0 	: 저도 여행을 많이 다니고 추억도 쌓고 해야하는네 삶에 대해 반성하게 되네요
P0 	: 저는 제주도 다시 가고싶은데 힐링좀 하고 오고싶어요
P1 	: 전 자연경관이너무 좋았어요ㅎㅎ 깔딱고개도 좋고 산위에서 드라이
P1 	: 왜요? 무슨일있으세요?
P0 	: 그냥 자연과 함께하는 아름다운 섬이라 과거의 추억도 있고
P0 	: 군대는 강원도에서 복무해서.. 갈 마음이 없고요 ㅋㅋ
P0 	: 나중에 여행 가보고싶어요?
P1 	: ㅎㅎ 그러시겟네요ㅎㅎ
P1 	: 과거추억이라함은 아름다운 추억이겟죠?ㄹㅎ
P0 	: 지금까지 마음속에 품은 곳이라 제주도 냄새를 맡고싶네요
P0 	: 해와여행도 혼자 다녀오고 싶고요
P1 	: 한번 용기내 가보세요ㅎ 코로나 끝나고요ㅎㅎ
P1 	: 혼자가는 여행이 정말 찐이에요ㅎ
P0 	: 마음은 있어도 실행에 옮기는건 쉬운 선택이 아니라서..
P0 	: 같이 갈사람도 없고
P0 	: 여행도 혼자 다닐 수있다고 생각하나요?
P1 	: 저 맨날 혼자다녀요ㅎ
P1 	: 한번도 안가보셨어요?
P0 	: 마음이 소심해서.. 혼자는 못다닙니다  위험에 처할거같아요 ㅋㅋ
