# FILE DATA
ID : MDRW2100007384
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 광주
principal_residence : 대구
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 책 추천 받습니다
P1 	: 앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 도서관에서 일하는 책.알.못
P1 	: 저는 bl소설 봄니다
P0 	: 앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아 이번에
P0 	: 달러구트 꿈백화점 2권 나왔더라
P0 	: 2권나오자마자 또 베스트셀러 1위
P0 	: 장악했던데 ㅋㅋㅋㅋ
P1 	: 아 맞아 ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 진짜...잘나가는즁....
P0 	: 그거 펀딩으로 나왔던 책인데
P0 	: 엄청 잘되고 있어서
P0 	: 신기하고 부러움
P1 	: 헐 진짜??
P1 	: 그게 첨에 펀딩으로 나왔던거야???대박
P1 	: 진짜 잘나간다
P0 	: ㅇㅇ 첨엔 자기도 이정도로 잘팔릴줄 모르고 펀딩냈던건데
P0 	: 완판되고나서 출판사 붙어서
P0 	: 정식출판하고도 베스트셀러 쭉 가더니
P0 	: 이젠 인기에 힘입어 2권 나온거잖아
P0 	: 1권도 리커버 이벤트로 새로 뽑기도 하고
P1 	: 사람 인생은 알수가없네
P1 	: 진짜 대박쑤
P0 	: 그니까 ㅋㅋㅋㅋㅋ 진짜 신기한거 같아
P0 	: 뭐 내용도 확실히 괜찮긴 하지...
P1 	: 인세도
P1 	: 엄청 많이 받았을거같아
P0 	: 그니까... 그게 부러운 거야... 또르르...
P1 	: ㅎ...인정
P1 	: 달러구트 정도면
P1 	: 수억은 벌었을듯
P0 	: 달러구트 그게 첫작인데 첫작으로 엄청떴으니까
P0 	: 나중에 차기작내도 어느 정도 수익은 꾸준히 보장되겠지??
P0 	: 좋겠다...
P1 	: 그니까 ㅋㅋㅋㅋㅋ
P1 	: 한번에 네임드작가 등극 ㅠㅠ
P1 	: 부럽댱
P0 	: ㅋㅋㅋㅋㅋ베스트셀러란보면
P0 	: 유명인이 내서 베스트셀러 들어간 책들은
P0 	: 좀 거르게 되는 것 같아 나는...
P0 	: 그런거는 유명인빨 등에 업고 내용이 별로 없는 경우를 많이 당했어...
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 맞아ㅋㅋㅋㅋ
P1 	: 대표적으로...조국의시간...
P0 	: 유튜버가 낸 책들도 마찬가지라고 봐...
P0 	: 좀 인기에 힘입어서 억지로 내고 판 것 같은 느낌...
P0 	: 팬이니까 사는 사람들도 많고 수익이 보장되긴 하겠지만...
P1 	: 마자 유튜버들
P1 	: 어린이도서 이런것도 많이 내는데
P1 	: 진짜 내용 별로고
P1 	: 쓰잘게기없고
P1 	: 흔한남매 이런건 정말
P1 	: 절레절레
