# FILE DATA
ID : MDRW2100040051
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 죄다
P1 	: 종려 들고 하네
P0 	: 공략이랍시고 벤티랑 종려 포함된 파티 구성해놓고
P1 	: 사기꾼들같으니
P1 	: ㅇㅇㄹㅇ
P1 	: 사기꾼이야
P0 	: 참 쉽죠? 하고있으면 열받는다 그랫는데
P0 	: 그런 사람들이 진짜 많네 ㅋㅋㅋㅋ
P1 	: 4성으로 깨기
P1 	: 케이아버젼 있네
P1 	: 이걸 봐바야겠어
P0 	: 오 궁금하다
P0 	: 설마 케이아 종려 호두 피슬 조합은 아니겟지
P1 	: 케이아 설탕 중운 엠버네
P0 	: 오
P1 	: 설탕 궁이
P0 	: 진짜 기본캐네
P1 	: 포인트인가봐
P0 	: 오
P1 	: 그치만 난 중운이 없긴 함......
P0 	: 확산있어서?
P1 	: 그런가봐
P1 	: 근데 나머지 영상은
P1 	: 죄 종려들고있는걸 봐선
P1 	: ㄹㅇ원소스킬로
P1 	: 5초안에 때려야되나봐
P1 	: 그래서 4성으로
P1 	: 깨려면
P1 	: 확산 필요한거고...........
P1 	: 일단 ㅎㅏ
P0 	: ㅇㅎ....
P1 	: 시도나 해보겠음
P0 	: ㅇㅇㅇ
P1 	: 엠버는 왜 소환한거지
P0 	: 잘 깨고와...
P1 	: 그 멍청해보이는 토끼를
P0 	: 걍... 이렇게 기본캐만 있단걸 보여주려고...?
P1 	: 걍 토템 위에
P1 	: 올려놓고 사라졌어
P1 	: 왜지.....?
P0 	: 아 ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 그용도면 차라리 누룽지가 낫지 않나 ㅋㅋㅋㅋ
P1 	: 아니 불도 안뿜었어
