# FILE DATA
ID : MDRW2100019222
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅇㅇ.....
P1 	: 언니 하우징 좀 해?
P1 	: 나 완전 손 놓고있어.....
P1 	: 가구들이 생각보다 내취향이 아녀...
P0 	: 나도 안들어간지 한참됐어 ㅋㅋㅋㅋ
P0 	: 생각보다 칙칙하지?
P0 	: 게임 컨텐츠 중에 젤 기대했는데
P1 	: ㅇㅇ......안예뻐
P0 	: 별로인듯....
P1 	: 그리고 뭔가 컨텐츠랄게 없ㅇ니
P1 	: 어
P0 	: 그거는 진짜
P1 	: 걍 시간차면 코인 얻어서
P1 	: 새 도면사기...?
P0 	: 캐릭터 세워놓고 인형놀이 하는거에 가까워서
P0 	: 난 솔직히 영주민이나
P1 	: ㅇㅇ......걍
P0 	: npc 세워놓고
P1 	: 미연시하라고 만든듯
P0 	: 북적북적한거 즐기고싶음
P1 	: ㅇㅇ.....수달주민
P0 	: 검은사막에서 제공한 영주성이
P1 	: ㅇㅏ니
P0 	: 기능만 좀 더 있었어도 취향인데
P1 	: 넣어달라는게
P1 	: 왜 나쁜말이냐고
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 여튼 수달주민
P1 	: 여기도 해줘라
P1 	: 아니면 동물
P0 	: 맞아
P1 	: 상호작용이랑 종류
P1 	: 좀 다양하게 해줬으면 좋겠어
P0 	: 육성 컨텐츠도 포함시켜라
P1 	: 아니
P0 	: 근데 낚시랑 관상어 시스템 들어온거 보면
P0 	: 한 3.0버전쯤 되면
P0 	: 동물 키우기 생길듯 ㅋㅋㅋㅋ
P1 	: 집안에도 동물배치 가능하게 해줘라
P1 	: 아니 고영
P1 	: 집에 넣어주려햇는데
P1 	: 안된대
P1 	: 그래서 마당에서 굴러다니는중이야
P1 	: 동물 상호작용이랑 호감도 잇엇으면
P1 	: 각 동물별 테마방
P1 	: 하나씩 해줬다
P1 	: 어류는
P1 	: 안귀엽단말야
P1 	: 걔넨 애교도 안부리잔아
P0 	: 그니까 ㅋㅋㅋㅋㅋ
P1 	: 내가 첨벙 한번만 해도
P0 	: 데려와서 밥주고 키울 수 있게 해줘라
P1 	: 부리나케 달아나는데
P1 	: 무슨맛으로 키워
P0 	: 그니까 ㅋㅋㅋㅋ 얘네는 게임에서 유저들이 뭘 하는지 모르나봄
