# FILE DATA
ID : MDRW2100034340
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 최근에 자주 보시는 티비 프로그램 있으세요?
P1 	: 저는 요즘 지인덕에 걸스플래닛을 보고 있습니다....
P1 	: &name1&님은요?!
P0 	: 전 오디션 프로그램은 과몰입할까봐 못 보겠어요ㅠㅠ
P1 	: 아 맞아요!!!ㅠㅠ 전 지인때문에 보고 있는데 이젠 선을 두며 봅니다...
P1 	: 투표조차 안하려고요ㅜㅜ 과몰입 방지..
P0 	: 그게 현명한 것 같아요ㅎㅎ 전 요즘 넷플릭스 구독해서 미드 많이 봐요!
P0 	: 넷플 구독하세요?
P1 	: 네!!! 넷플에서 어떤 거 보세요?
P1 	: 전 요즘 에밀리파리에가다를 다시 보고 있답니다..
P0 	: 저 굿닥터요!
P0 	: 주원 나왔던 드라마 아세요? 그거 미국에서 리메이크한 거예요~
P0 	: 신기하더라구요ㅎㅎ
P1 	: 헐 헐
P1 	: 미국에서 리메이크를 한 거예요?!
P1 	: 아놔 전 지인이 반대로 설명해서 반대인 줄 알았어요
P1 	: 헐 저도 봐야지,,
P0 	: 넹 한국이 원작이에요! 그래서 미드에도 작품 초반에 한국 작품이라고 자막 나와요!ㅎㅎ
P1 	: 아하! 헐 봐야겠어요!!!!!!!!
P0 	: 이번에 시즌 5 나온다던데 넷플엔 아직 시즌3까지만 둘어왓더라구요
P1 	: 저 굿닥터 진짜 재밌게 봤거든요!!!
P1 	: 와...시즌...5요...?
P1 	: 그게...그렇게 되는 내용이군요....?
P0 	: 넹 인기 많은가 봐요ㅋㅋㅋ 그래도 기본 설정은 거의 똑같아요
P0 	: 그리고 주인공이 찰리와 초콜릿 공장의 찰리예요!ㅎㅎ
P1 	: 헐 진짜요?! 와 진짜 봐야겠어요!!!!
P1 	: &name1&님 슬의생도 보시나요? 의학드라마얘기가 나와서..ㅎㅎ
P0 	: 네 슬의생도 봐요~
P1 	: 슬의생 재밌지 않나요?ㅎㅎ 저...정말 좋아한답니다..
P0 	: ㅎㅎ저도 재밋게 보고 있어요! 전 본방은 잘 못챙겨봐서 주로 넷플에서 봐요
P0 	: 슬의생 재밌는데 시즌 2도 얼마 안 남아서 아쉬워요ㅠㅠ
