# FILE DATA
ID : MDRW2100046020
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 해외/기타
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아니요 중식도 아닙니다~
P0 	: 앗 그럼 한식이군요!
P1 	: 저는 역시 한국 사람인가 봐요
P1 	: 뼛속까지 한국인!
P0 	: ㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 밥이 든든하잖아유
P0 	: 암 그럼요
P0 	: 그렇다면~~ 계란이 들어가나요?
P1 	: 네 들어갑니다!
P0 	: 오예 맞췄다
P0 	: 구운 요리인가요?
P1 	: 아니요 굽는 요리는 아니에요
P0 	: 그럼 국물이 있는 요리인가요?
P1 	: 이것도 국물이라고 한다면 약간 있어요
P0 	: 아주 쪼금이라니
P0 	: 야채가 들어가나요?
P1 	: 들어갑니다!
P1 	: 많이는 안 들어가요
P0 	: 으으으으으음
P0 	: 고기가 들어가나요??
P1 	: 들어가지는 않고 같이 먹기도해요!
P0 	: 맵지 않은 음식인가요!
P1 	: 맵찔이에게 매울 수도 있어요
P0 	: 앗 맵찔이ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 와 계란 들어가고 국물 없는데 매운 요리..
P0 	: 쌀이 들어가나요?
P1 	: 쌀은 안 들어가요!
P0 	: 으으으으으음 뭘까요 볶음이예요?
P1 	: 아니요 볶음 요리는 아니요!
