# FILE DATA
ID : MDRW2100007361
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 네네 맞아요 ㅎㅎ
P0 	: 오 이것도 우지님 곡
P1 	: 세븐틴 노래는
P1 	: 거의 90퍼가
P1 	: 우지 작곡이예요
P1 	: 우리 천재 작곡가..
P0 	: 진짜 천재신 것 같아요
P0 	: 소나기도 너무 좋아해요!!
P1 	: 헉 소나기 작곡한것도 아시는구나
P1 	: 너무 명곡이예요...
P1 	: 저 입덕 초기에
P1 	: 소나기 우지 단독작사인 거 알았을때
P1 	: 진짜 뒤집어졌잔ㄹ아요..
P1 	: 어떻게 이런 가사를 쓰냐며{emoji:…}
P0 	: 저는 처음에 우지님이 쓰셨다길래 노래 나오기 전부터 기대하고 있었는데
P0 	: 나오고 듣자마자 와 진짜... 좋을 거라 생각은 했지만 진짜 너무 좋아서 한동안 계속 들었어요
P1 	: 진짜 너무 좋죠 ㅠㅠㅠㅠㅠㅠㅠ
P1 	: 진짜 눈물 나는 노래...
P1 	: 지금같은 새벽에도 듣기 좋구요 ㅠㅠ
P0 	: 맞아요! 생각난 김에 듣다가 자야겠어요
P1 	: 좋아요ㅠㅠ 저도 들어야겠어요ㅎㅎ
P1 	: 오늘 마침 비도 와서 딱 좋네요
P1 	: 지금은 그쳤지만
P1 	: &name1&님 사시는 지역도 오늘 비왔나요?
P0 	: 네! 오늘 비 되게 많이 오더라구요
P1 	: 저희도 오전에 엄청 쏟아지더라구요 ㅋㅋㅋ
P0 	: 그쵸 이런 날은 집에만 있어야 하는데!
P1 	: 맞아요 ㅋㅋㅋ 전 그래서 하루종일 집에 있었어요
