# FILE DATA
ID : MDRW2100024291
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 네가 말하는 클램프 감성이 뭔지 알것 같아
P1 	: (ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 맛있네...(부정할수없는맛
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ문어와 결혼에서!?!?
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 웃겨ㅠ
P1 	: 아니..그냥... 정통소년물 어저구에서는
P0 	: 웅웅
P1 	: 절대 안나올 그런
P1 	: 전 개 !
P1 	: 같아서...
P1 	: (필터링당함.그랬음.
P0 	: 그러...하다!!
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 근데 진짜로 이런 맛집 찾기가...힘들거든요..
P1 	: ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
P0 	: 일단 판타지 웹소설에서
P0 	: 내스급만큼 장기 연재한 소설이...별로 없음...
P1 	: 아 진짜로?.... 내가 생각해도 오래하긴 했는데...
P0 	: 전독시도 엄청 오래한 편이었어
P1 	: 맞아..전독시는진짜오래했지
P0 	: 무협이 가미되면
P0 	: 현대판타지 계열에서는 이렇게 오래하기 힘들더라고
P1 	: 무협.... 전독시에 그런 테이스트가 있었나요(못느낌)
P0 	: 뭐야 어디가 필터링 된건지 모르겠는데
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아님 내가 연상하는 무협이랑은 조금 다른가 응ㅇ응ㅇ
P1 	: 헝 그렇구나.... 나는 판소가 하도 인기 많으니까 인기만큼 오래해먹을수도 있고 그럴 줄 알았는데
P0 	: 근데 아까두 말했지만
