# FILE DATA
ID : MDRW2100020178
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 제주
principal_residence : 광주
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아뇨 날것을 못먹어요ㅠ
P0 	: 저도그렇습니다
P0 	: 그럼 날것에 대한 것은 넘어갑시다
P0 	: 카페가면 뭐 마셔요
P1 	: 저 아아 또는 라떼
P0 	: 저는 라떼
P0 	: 약간 단거좋아해서
P1 	: 사럽 추가하시나요?
P1 	: 시럽
P1 	: 헤이즐넛라떼 맛잇어요
P0 	: 당연하죠
P0 	: 헤이즐넛 어디가 맛있어쇼
P0 	: 추천 카페 있으신가요
P1 	: 커피빈이요
P1 	: 한번 드셔보세요
P1 	: 헤이즐넛 아메리카노도 맛잇어요
P0 	: 커피빈 맛있다는 이야기 많이 듣긴했는데
P0 	: 꼭 한번 가서 먹어볼게요
P0 	: 디져트는 뭐 좋아하시나요
P1 	: 투썸 스초생 좋아해요 ㅎㅎ
P0 	: 전 아이스박스
P0 	: 투썸 케이크가 은근 맛있더라구요
P1 	: 맞아요 투썸 맛잇어요
P1 	: 노티드도넛
P1 	: 드셔보셧나요?
P0 	: 헉 아직 안먹어봤어요
P0 	: 어떤가요
P0 	: 아 노티드 그건가
P0 	: 먹어본거같은데
P0 	: 겉에 흰가루 뭍어있고 안에 크림 잔뜩들은거
P1 	: 그 스마일표시 도넛이요
P0 	: 먹어본거같아요
