# FILE DATA
ID : MDRW2100027225
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 거기에멤버들솔로도나와야해서
P1 	: 혜지니솔로준비하던거밀렸다그러는데
P1 	: 곡이마음에드는게안나왔다고
P0 	: 누구???
P1 	: 별이도솔로준비계속하고있다그랬고
P1 	: 아마올해내로솔로하나이상은나올듯
P0 	: 오
P0 	: 다들나오겠네
P1 	: 그러고보니9월말에일본에서앨범도나오는데이건어차피활동못할거라.....
P1 	: 여튼그래서
P1 	: 베스트앨범은활동모달거같음....
P0 	: 아하....
P1 	: 휘니도소속사옮겼으니준비할거같고
P0 	: 사실 이번거좀아쉬웠는데
P0 	: ㅇㅇ
P1 	: 이번거도원래활동안하려다가
P1 	: 코로나때문에밀려서급하게들어간거라....
P0 	: 노래가 확안와닿는달까
P1 	: 저도.....사실그리좋아하지않슴다....
P0 	: 휜 솔로ㄱ좋았어서
P1 	: 콘에서들으니까웅장하고좋긴하더라....
P1 	: redd명반이여....
P1 	: 가을되니까다르게좋은거같음
P0 	: ㅇㅇㅇㅇ
P0 	: 아직도들어요
P1 	: ㅇㅇ나도
P0 	: 봄ㄴ낌나도 다르게
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 휘인....빨리또명곡들고와....
P0 	: ㅋㅋㅋㄱㅋㅋㅋ봄노래지만
P1 	: 천천히빨리와....
P0 	: 사실 봄느낌많이안난다고해야하나
P0 	: 워터컬러는계절감이 별로없어서
