# FILE DATA
ID : MDRW2100032148
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요! 요즘 갑자기 날씨가 가을이 됐어요ㅋㅋ
P1 	: &name1&님 안녕하세요~~~
P1 	: 그러게요!!!!
P1 	: 오늘 저는 청자켓을 입고 나갈 예정이에요~~
P0 	: 와 청자켓 날씨랑 진짜 잘 어울릴 것 같아요
P0 	: 저는 내일 출근 때 갈색 정장을 입어보려구요ㅋㅋㅋ
P1 	: 헉 너무 멋있겠어요!!!
P1 	: 요즘은 허리라인 안들어간 정장이 더 멋있는거같아요!!
P0 	: 맞아요 저도 원래 딱 떨어지는 핏을 좋아해서 라인 안 들어간 정장이 더 좋더라구요
P0 	: 가을 온 건 너무 좋은데 금방 또 겨울 올 생각하니까 벌써 춥네요ㅋㅋ
P1 	: 핫 그러게요
P1 	: 지난 여름이 무척 더웠던만큼
P0 	: 맞아요
P1 	: 겨울도 엄청 추울 것 같은데...ㅠ
P0 	: 그러게요 벌써 걱정돼요
P0 	: 여름이랑 겨울 중에 어떤 거 더 좋아하세요?
P1 	: 음 저는 굳이 따지자면 겨울이요!!!
P1 	: 여름에 더운건 진짜
P1 	: 답도 없더라구요... 음식도 상하고....
P1 	: &name1&님은요?
P0 	: 아 맞아요 여름에 음식 상하는 거 정말 싫죠
P0 	: 저도 겨울이 더 좋아요ㅋㅋㅋ 겨울엔 그래도 옷을 더 입으면 좀 따뜻하니까
P1 	: 그쵸!!!
P1 	: 그리고 막 운동이라도 하면
P1 	: 몸에서 열이 나는데
P0 	: ㅋㅋㅋㅋ다들 공감하시더라구요
P0 	: 맞아요
P1 	: 여름에 더울 땐 어떻게 해야할지;;;;
