# FILE DATA
ID : MDRW2100016052
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 돈아쉬우면 젤 먼저 생각나는게 애통장 ㅋㅋㅋㅋ
P1 	: 통장에.내가 빼 쓴게 너무 찍혀서 ㅋㅋㅋㅋ
P1 	: 첫찌꺼도 새로 만들라규 ㅋㅋㅋㅋㅋㅋ
P0 	: 너무찍힌대 아 웃겨ㅋㅋ
P0 	: 그래 둘다 새로시작해야겠네ㅋㅋ
P1 	: 동사무소에서 증명서 떼는데 시간다 보냄
P1 	: 통장도 못 만들겠네
P0 	: 아하ㅜㅋㅋㅋ맞다 통장만드는것도 힘들다우
P1 	: 은행 가서도 한참 기다려야지 싶다
P1 	: 조용한 은행이 어디고
P0 	: 근데 은행직원이카던데 그냥 자기도 적금같은거는 자기명의로하고 애들은 청약통장만해줬다더라.
P0 	: 해지할때도 서류다떼고  이러니 돈도들고 번거롭더라고
P1 	: 아~그면 우리도 청약으로 해야겠군 ㅋㅋㅋㅋㅋ
P0 	: 나도 이번에 애들 적금 들었는거 깬다고 서류떼고 돈 낭비, 시간낭비. 했더니 손해더라고 ㅋㅋ 적금 금액이 얼마 없는데 이자도 별로고 ㅋㅋㅋ
P0 	: 그래서 아...애들은 청약통장에만 넣어주고, 따로 내 이름으로 적금 만들어야되겠따. 싶더라,
P1 	: 진짜??글쿠먼~미리 물어볼껄..서류괜히 뗏네 ㅋㅋㅋㅋㅋ
P0 	: 저축보험도 보험이라가꼬 나중에 돈 못넣게 될수도있는데 그렇게 되면 원금보장도 못받으니
P0 	: 신랑이랑 나랑 여기 집 대출때문에 너무 처음에 벅차가꼬 중간에 깨고 빚으로 넣었거든.
P1 	: 아하~이런거 진짜 잘 아네^^
P0 	: 진짜 몇 백 손해봤다. 그때는 진짜 돈이 없었어가꼬 정말 숨쉴구멍이 없어서 손해보더라도 깨가 빚 조금 갚고 그랬거든
P1 	: 아고ㅠㅠ 아깝다 그쟈??ㅠ
P0 	: 빚이라도 조금 줄여야지 우리가 살것같았음
P0 	: 응응 지금 생각하면 아깝지 ㅠㅠ
P1 	: 근데 그땐 그게 최선이였다 ㅋㅋㅋㅋ
P0 	: 근데 그때는 정말 돈이 없었어서 울신랑 알바도 뛰고 그랬었어
P1 	: 우리도 그래가 첫찌꺼도 깼다 ㅋㅋㅋㅋㅋ
P1 	: 정말??
P0 	: 응응 나도 알바 하다가 &name3&이아파서 그만뒀고
P1 	: 이제 자리 잡고 빚도 다 갚고 ~
P0 	: 울신랑 월급으로는 빚갚고, 병원비갚고, 생활비쓰니 30만원남을때도 있었구, 마이너스있었을때도 많았거든
P0 	: 그래서 내 알바도 못하지, 상황은 어렵지 하니 ㅋㅋㅋ 신랑 투잡뛰었었지.
P1 	: 우리도 뭐 마이너스긴 하다 ㅋㅋㅋㅋ
P1 	: 신랑 멋지데이~
