# FILE DATA
ID : MDRW2100035129
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세용 아침은 드셨어용?
P1 	: 안녕하세요 너무 일러서 아직이에요
P0 	: 저도 아직이에요ㅋㅋㅋ
P0 	: 아침에 카레 먹으려고 준비하고있어요
P1 	: 부지런하시네요
P1 	: 카레에  주로 어떤 재료 넣으세요?
P0 	: 브로콜리랑 감자랑 돼지고기도 넣어용ㅎㅎ
P0 	: 당근은 안좋아해서 뺀답니당
P0 	: 양파도 조금 넣어용!
P1 	: 우와 영양가득
P1 	: 요리솜씨 좋으신듯해요
P1 	: 평소에도 카레 많이 드세요?
P0 	: 앗 카레는 분말이 다해줘서용....ㅋㅋㅋㅋ
P0 	: 넹넹 카레는 가리지않고 다 좋아해요
P0 	: 마켓컬리에서 난 사서 찍어드셔보세요!
P1 	: 맞아요 밥보다
P1 	: 난이랑 먹을때 더 맛난거 같아여
P1 	: 분말 어디꺼 좋아하시나용?
P0 	: 오 뭘 좀 아시는군요!ㅋㅋㅋ
P0 	: 카레여왕 주로 먹고
P0 	: 바몬드도 잘 먹어용
P0 	: 이번에 새로나온 티아시아는 아직 못먹어봤어용
P1 	: 카레여왕 저도 좋아해요ㅋㅋㅋ
P1 	: 티아시아 전지현이 선전하는거죠?
P0 	: 네네! 근데 이거
P0 	: 분말형이 있고 그냥 렌지에 돌려먹는 완제품이 있어서
P1 	: 저도 아직 못 먹어밨어요 궁금해하고만 있어요
P0 	: 잘보고 사셔야해용
