# FILE DATA
ID : MDRW2100012622
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 기능원 및 관련 기능 종사자
sex : 여성
birthplace : 충북
principal_residence : 충북
current_residence : 충북
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 요새 보톡스를 생각중입니다 ㅋㅋ
P0 	: 미용을 위한 선택이겠죠
P1 	: 네 미간 주름때문에요
P1 	: 갑자기 훅  파였어요
P1 	: 그리고 검진하는건 치아요
P1 	: 잇몸이 너무 안좋아서요
P0 	: 치과 가는건 좀 무섭죠
P1 	: 네 항상 무서워요
P1 	: 얼마전 정기 검진가서
P1 	: 너무 아파서 ㅜㅜ
P1 	: 눈물 찔끔 났어요
P1 	: 치아는 선강하세요?
P1 	: 건강
P0 	: 네 현재 까지는 충치없이 잘유지하고 있어요
P1 	: 전 충치는 없는데
P1 	: 원래 잇몸이 약해요
P1 	: 그래서 6개월마다 검진하다 3개월로 바꼈어요
P0 	: 잇몸이 아프면 신경 엄청 쓰이는데 ....
P1 	: 네 자꾸 붓고 피나서요
P1 	: 잘닦지도 못해요 겁나서
P1 	: 건강 신경쓰는건 어떤건가요?
P0 	: 잇몸에 인사돌 먹는건 어떨까요 ??
P1 	: 아 그거 효과없데요 ㅜㅜ
P1 	: 나중에 그거 드시지 마세요
P1 	: 영양제 뭐드세요?
P0 	: 전에 디스크 초기로 시술후 운동을 열심히 
	  한답니다
P1 	: 아 그렇군요
P1 	: 디스크는 운동이 최고의 시술이래요
P1 	: 정말 부지런 하시네요
P1 	: 꼭 운동 잘해서 건강 유지하세요
P0 	: 칼슘제 눈영양제 종핲비타민
P1 	: 저희남편도 그래서 매일걷고 그래요
P1 	: 전 눈 비타민 오메가 유산군요
P1 	: 다들 비슷한거 같아요
