# FILE DATA
ID : MDRW2100044253
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 그리고 사실 밖에 못봐따
P1 	: 마자...
P1 	: 결혼해봤자 돈도 못 벌어
P1 	: 내 취미를 안그래도 허락맡고 사는데 또 허락맡으면서 살라구..?
P0 	: ㅋㅋㅋㅋㅋㅋ 마자
P0 	: 난 걍 혼자. 살면서
P0 	: 주3회 운동하고 주2회 친구랑 술마시고
P0 	: 주말에 잔뜩 늦잠자고 대충 뒹굴거리는 삶 살거야
P1 	: ㅋㅋㅋㅋㅋㅋ 완전 워너비 라이프 아니야..?
P1 	: 그렇게 한.. 80까지만 살 수 있음 좋겠다
P0 	: 그치 ㅋㅋㅋㅋ 가끔 내키면 여행다니고
P0 	: 혼자사니까 누구 눈치보거나 챙기지 않아도 되고
P1 	: 애인 대신에 법적 보호자 할 수 있는 놈 하나 잡아다 근처 살고(?)
P1 	: ㅋㅋㅋㅋ
P1 	: ㅇㅇ
P0 	: 맞아 ㅋㅋㅋ 아니면 친구랑 이웃으로 살면 되지
P0 	: 보호자 개념이 너무 연애랑 결혼에 집중되어있는듯...
P1 	: 그치그치
P1 	: 법적 보호자가 굳이 그래야할 필요가?
P1 	: 엄빠랑 나랑 연애하진 않잖아?
P1 	: 법적 후건인이 나랑 연애함?
P1 	: 그건 아닌데 (절래
P0 	: 그니까 ㅋㅋㅋㅋ
P0 	: 걍 말 그대로 법적으로 내 권한을 위임해줄 사람이면 되지
P0 	: 굳이 그 사람이랑 연애하고 결혼해야하는 이유를 몰겟음
P1 	: 머 신천지같은 사이비가 파고든다고 그런다는데
P1 	: 법적 위임그런거 할때 느슨허면?
P0 	: 솔직히 신천지는 그런거 엄격해도 파고들듯...
P1 	: 그런데 사기결혼 같은거 보면 머..
P1 	: ㅇㅇ
P1 	: 그렇지.. 결혼해서 하는 사람도 많지 않을까 선도
P0 	: ㅇㅇ 요즘 위장결혼도 많잖아
P0 	: 아파트 받으려고...
P1 	: 응ㅇ 그러니까
P1 	: 그럼 결국 엇비슷한데
P1 	: 막말로 친권도 박탈할 수 있는데 머 내 법적 권리 위임이야
P1 	: 내가 정신 없을 때만 해주면 되지
P1 	: ㅋㅋㅋ큐ㅠㅠ 아파트ㅠ
P1 	: 아파트 때문에 위장이혼도 많지..
