# FILE DATA
ID : MDRW2100023272
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 전북
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  3
contact_frequency  :  주 1회 미만

P1 	: 나는 비와서 가족끼리 전 부쳐먹는대
P1 	: 전 부쳐먹다,, 부처먹다,,
P1 	: 마라탕 먹으면 뭔가 꿔바로우도 먹고싶오
P0 	: 난 있어도 그만 없어도 그만
P1 	: 난 꿔바로우가 넘 좋아
P1 	: 찹쌀탕수육,, 꿔바로우,, 매콤한 국물,,
P0 	: 근데 저번에 꿔바로우랑 같이 먹었어
P0 	: 오랜만에 먹으니까 맛있드라
P1 	: 그치 난 꿔바로우가 더 좋아
P1 	: 오늘 저녁 머머금?
P0 	: 저녁은 아직..,,??
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 근데 오늘 허니콤보 먹었어
P1 	: 지금이 오전 열두신데 저녁을 아직 안먹었다니,,
P1 	: 헐 허니콤보 나도 줘
P1 	: 어디서 났음?
P0 	: 엄마가 시켜서 반절 먹음
P1 	: 개부럽다 나도 허콤 주라
P1 	: 허콤 첨에 먹고 놀랐었는데 치킨 넘 달아서
P1 	: 근데 지금은 없어서 못먹음
P1 	: 당에 익숙해지는 거 위험한디
P0 	: ㅌㅋㅋㅋㅋ 나는 뭔가 교촌이 맛있는지 모르겠어서 허콤도 별로일줄알았는데 생각보다 괜참ㅎ더라
P1 	: 치킨 최애 머임
P1 	: 난 요즘 허콤 골드킹 이런 게 좋더라
P1 	: 그치 허콤 존맛
P0 	: 골드킹은 뭐야
P0 	: 난 원앤온리 고추바사삭
P1 	: 골드킹 비에이치씨인가? 그런데 약간 간장맛인데 좀 더 달달한 그런 느낌
P1 	: 고바삭은 이제 질림
