# FILE DATA
ID : MDRW2100036209
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 날씨와 계절

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>현 거주지 지인
intimacy  :  5
contact_frequency  :  주 3회 이상

P0 	: 으악이야
P0 	: 모기가 두방이나물렷어
P1 	: ㅋㅋㅋ요즘 모기 독할텐데..
P0 	: 난물고잇던녀석을
P0 	: 잡아죽엿어피가나옴
P0 	: 따끔하더라고ㅠㅠ
P1 	: ㅋㅋ헉 되게 잘느끼나봐!!
P1 	: 난 볼을 물려도 잘 몰라...
P0 	: 헉 ㅋㄴㅋㅋ
P0 	: 난자다가 때려서잡아봄
P0 	: 근데.또 피뽑아먹울때 때려잡음안된다던데
P0 	: 여름에 넘더워서 가을모기가많데
P1 	: 헉!! 오늘 먹는 중에 잡은거잖아!!
P1 	: 빨리 추워져서 요 모기들 다 사라져야해!!
P0 	: 나 내몸에 붙어잇을때 몇번때려잡아봣ㅇㅓ
P0 	: 나물리때 좀 잘느끼는거같아 ㅋㅋㅋㅋ쏠때ㅡㅡ
P1 	: ㅋㅋ오 진짜 신기하다 ㅋㅋㅋ울엄마도 물리는거 잘느끼더라
P1 	: 그래서 나보고 곰이랬어
P0 	: 아 목쪽에 물렷는데 따갑고 간지럽네 ㅠ
P1 	: ㅠㅠ긁지말고!!
P1 	: 물리자마자 씻어내라던가? 뭐 그런거 본 거 같은데!
P1 	: 모기침을 빼내야한다는거 봣어!!
P0 	: 아 긍가 계속 만짐헐
P0 	: ㅋㅋㅋㅋㅋ
P0 	: 한마리더잇는거같은데 안보이넹
P0 	: 진짜 날씨가 이상해
P1 	: 그 꽂아두는 모기향같은거 피우면 안되나? 홈키파?
P0 	: 구런거없는디ㅠ
P0 	: 뮤튼 기피제가지고다녀야겟어
P1 	: 마져!! 우리집은 오프? 그거 샀는데 엄마가 효과 좋대 ㅋㅋ
P0 	: 난 전에.보건소갔을때 보건소에서그냥주는거잇길래 가져와봄 !! 써본진않음
P0 	: ㄴㅏ..어제
