# FILE DATA
ID : MDRW2100023810
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 판매/영업 종사자
sex : 남성
birthplace : 충북
principal_residence : 충북
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 가요도 듣고... 아이돌 노래도 듣고.. 
	  팝도 듣고..
P1 	: 걍 bgm으로 계속 틀어놔요
P0 	: 플레이리스트에 늘 있는 곡은 뭔가요?
P1 	: 옛날 노래긴한데... 
	  리틀믹스라는 그룹 노래랑..
P1 	: 영화ost도 많고.. 라라랜드나 레미제나..
P0 	: 리틀믹스? 한국그룹은 아니죠?
P0 	: ost 들으시는구나! ㅎㅎㅎ
P1 	: 네.. 영국의... 
	  음악 주로 뭐들어요?
P0 	: 저는 ccm도 좀 듣고 놀면뭐하니 영향으로 sg워너비 노래도 들어요
P0 	: 90년대 노래를 몇개 찾아서 듣고 있어요 ㅎㅎ
P0 	: 최근노래는 여자아이돌 노래 조금 듣구요!
P1 	: 여돌은 누구여?
P0 	: 스테이시 요!
P0 	: 라붐이랑 ㅎㅎ
P0 	: 스테이시 아세요?
P1 	: 신인중엔 압도적이죠...
P1 	: 노래가 넘 좋아요...
P0 	: 오! 아시는군욤
P0 	: 너무 귀여워요~#
P1 	: 걸그룹 기본은 다 갖춘거 같아여.. 
	  보컬이랑 중저음 파트랑..
P1 	: 전 메보가 너무 눈에 띄던데..
P0 	: 데뷔전에 이런 그룹이 데뷔한다! 하고 사진봤을때부터 반했어요 ㅋㅋㅋㅋ
P0 	: 메보가 시은인가요
P1 	: 네.. 그럴거에여.. 
	  아.. 박시은.. 아빠가 박남정
P0 	: 저는 이친구 붕어빵 나올때부터 좋아했어요ㅜㅋㅋㅋㅋ
P0 	: 귀엽ㅠㅠ 붕어빵때부터 진짜 귀여웠어요
