# FILE DATA
ID : MDRW2100023052
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㄹㅇㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 와 진짜
P1 	: 벌써 10년전이야
P1 	: 세상에
P0 	: 그니까 ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 베르사유의 장미는
P0 	: 무려 16년전임 ㅋㅋㅋㅋ
P1 	: ㄹㅇ추팔
P1 	: 너무 재밌어서
P1 	: 왜 10년전에 토토가에
P1 	: 사람들이 미쳤었는지
P1 	: 이해가 가...
P0 	: ㅇㅇ ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 약간
P0 	: 최신곡으로는 채울 수 없는 그시절 감성이 있음
P1 	: 제목도 모르면서
P1 	: ㅇㅇㅋㅋㅋㅋㅋㅋㅋ싸이월드 노래들
P1 	: 틀면 다 알아
P0 	: ㅇㅇㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 00년대 세기말 감성...
P1 	: 제목 들으면
P1 	: ??그래서 그게 뭔데
P1 	: 하다가
P0 	: ㅇㅇ ㅋㅋㅋㅋㅋ
P0 	: 간주 들으면 알음
P1 	: 딱 재생되는순간
P1 	: ㅇㅓ
P1 	: ㅇㅇㅋㅋㅋㅋㅋㅋㅋㅋㅋ와
P0 	: 그리고 가끔 간주 들어도 가물가물한거 있는데
P0 	: 핵심 반복구간 들으면
P0 	: 아 이게 이노래야???
P0 	: 함 ㅋㅋㅋㅋㅋㅋ
P0 	: 그당시 음원은 1분씩 쪼개서 팔앗기 땜에....
P1 	: ㅇㅇㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 보통 후렴구만
P1 	: 계속 틀어줘서
P0 	: 그니까 ㅋㅋㅋㅋ
P1 	: 전주만 듣고는 모르는것도 만싸
P1 	: 많아
P0 	: ㅇㅇ 전주나 앞부분은 좀 낯설기도 하더라
P0 	: 아련하다...
