# FILE DATA
ID : MDRW2100013014
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ그39000원도 니가 모은거 아니가 ㅋㅋㅋㅋ
P1 	: 마상 입지 말쟈 ㅋㅋㅋㅋ
P1 	: 우린 하던대로 하쟈 ㅋㅋㅋ
P0 	: 몰라 오늘 편의점 주문해서 픽업하면 만원치를 1000원쯤에 살수있는 이벤트도있는데
P0 	: 안할라고 씅난다ㅋ
P0 	: 편의점과자 사오면 애들이랑 오빠만 먹는데기
P0 	: ㅋㅋ
P0 	: 급하기싫어졌음ㅋ
P1 	: 해서 숨겨놓자 ㅋㅋㅋㅋ
P0 	: ㅋ숨겨놓을때도없다ㅋㅋ
P0 	: 웃겨ㅋㅋ
P1 	: 이제되는가??
P0 	: 응응ㅋㅋ미용실왔다ㅋ
P1 	: 오~어디로 갔너??예약하고 갔나??
P0 	: 응 유헤어에 왔어ㅋㅋ
P0 	: 머릿결손상심해서
P1 	: 다 잘르라나??
P0 	: 일단 또 자르고 매직펌하기로ㅋㅋ
P0 	: 최대한 짧게 짜르려고했는데 너무 짧으면 그렇다구
P1 	: 파마안하고 짦음 또 관리가 힘드니께~
P0 	: 응응 그라잉
P0 	: 괜찮겠지ㅋㅋ
P0 	: 여튼 신랑한테 짜증나는거 풀리고 갔음좋겠네잉ㅋㅋ
P0 	: 첫째 뭐하고있노?ㅋ
P1 	: 응~전에도 짧은머리 계속 했응께^^
P1 	: 유튜브...
P1 	: 저거 할라고 온거지뭐..
P1 	: 이제 낼은 학교 가니깐~
P0 	: ㅋㅋㅋㅋ아 웃겨ㅋㅋ
P0 	: 그래 이제 내일 드디어 개학이다ㅋㅋ
P1 	: 진짜~!!날아갈듯 ㅋㅋㅋㅋ
P0 	: 그동안 고생했다잉ㅋㅋ
P1 	: 근데 낼 일찍 하교하나??
P0 	: 맛있는거 먹으러가자ㅋ
P1 	: 아니라고 해도ㅠ
P0 	: 그럴것같은데ㅋㅋ
P1 	: 아...ㅠㅠ
P0 	: 그래도
