# FILE DATA
ID : MDRW2100032009
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 누구나 다 결국은 가게 되는 병원
P1 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 선생님도 야근 자주하죠?
P1 	: 고등은 야자감독하니까 자주하고
P1 	: 저희학교는 거의 할 일이 없긴한데
P0 	: 아 마져
P1 	: 맨날 야근 하는 사람만 야근해요
P0 	: 중학교 시험 없다면서요
P1 	: 있어요 ㅋㅋㅋ
P0 	: 있어요?
P1 	: 중간고사 기말고사
P0 	: 아 있어요?ㅋㅋㅋㅋ
P1 	: 네네 ㅋㅋㅋㅋ
P0 	: 누가 없다길래 ㅋㅋㅋㅋ
P1 	: 중1들은 자유학년제해서 없긴한데
P1 	: 나머지 학년은 다 내신으로 고입성적 산출하져 ㅋㅋㅋ
P0 	: 시험문제 내보고 싶어요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 앜ㅋㅋㅋㅋㅋ
P1 	: 되게 귀찮은데
P0 	: 문제 어떻게 만들어요?
P1 	: 요즘은 온라인 수업땜에 애들이 더 바보되어서
P1 	: 완전 답을 다 알려줘도 답을 몰라여..아휴
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 잘하는애들만 꿀이구나 ㅋㅋㅋ
P1 	: 저 보통 문제집들 다 펼쳐두고 비슷하게 문장 만들되 문제집에는 없는 선지를 만들죠
P0 	: 오
P0 	: 제가 예전에 학원에서 살짝 강사했던적이 있는데
P0 	: 시험문제 내는거 좋아했었는데ㅋㅋㅋㅋ
P0 	: 수학이라 내는게 어렵진 않아서
P1 	: 아 수학쌤들은 진짜 금방 내시더라구요 ㅋㅋㅋ
P1 	: 저는 그림이랑 지도랑 표랑 이런거 편집하는게 젤 오래걸려요
P0 	: 한글마스터?
P1 	: 한글 정도는 누구나 마스터 아니겠습니까 ㅋㅋㅋㅋ
P0 	: 엑셀이랑 한글 잘 몰라서 첨에 고생했어요
P1 	: 50대 선생님들도 자유롭게 쓰시는데
P1 	: 아 진짜옄ㅋㅋ
P0 	: 컴공은 안쓰니까여...ㅋㅋㅋㅋㄲ
P1 	: 엑셀은 막 쓸일 없어서 괜찮아요
P1 	: 그렇겠네요 ㅋㅋㅋㅋㅋ
P0 	: 사기업에선 한글도 잘 안써서
P1 	: 친그가 컴공친구한테 컴활같이 따자고 제안했던거 떠올랐어요
P1 	: 컴활따면 오히려 컴퓨터 못하는거처럼 보인다고 거절ㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 컴활 따고
P0 	: 이력서에 쓰면
P0 	: 회사에서 낭패를 보죠
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 엄청 잘한다고 생각해서
P0 	: 기대치가 높아서
P1 	: 앜ㅋㅋㅋㅋ
P1 	: 사기업들은 한글 안쓰는군어
P1 	: 사기업은 보통 엑셀만 쓰나요?
