# FILE DATA
ID : MDRW2100024461
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: ㅜㅠ 한번만 사용가능하다니
P0 	: 넘 아까워요!!
P0 	: 캣잎?! 같은것도 주나요?
P0 	: hahaha라는 유튜브 채널을 보는데
P0 	: 고양이들이 엄청 좋아하더라구요!
P1 	: 맞아요ㅠ
P1 	: 넹!! 전에 풀 심는거 실패해서 가루로 구입했어오ㅡㅋㅋ
P0 	: ㅋㅋㅋ 가루로 하면 어떻게 주나요..?
P0 	: 그냥 뿌려두나요?
P0 	: 
P1 	: 넹! 장난감에 뿌리거나
P1 	: 좋아하는 이불에 뿌리면 뒹굴거려용
P1 	: 캣잎볼은 품에 간직하더라구요ㅋㅋㅋ
P0 	: 아ㅜㅠㅠ 넘 귀여울 것 같아요ㅜㅠ
P0 	: 고양이들이 왜 그렇게 좋아하는 걸까요..?
P0 	: 궁금해요ㅋㅋㅋ
P1 	: 그러니까요.! 마약같은 향이라던데ㅋㅋㅋㅋ 역시.. 마약은 동물도 어쩔 수 없나봐요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 진짜 정신을 못차리는게 넘 귀여워욬ㅋㅋㅋ
P0 	: 추르
P0 	: 도 주시나요?
P1 	: 맞아용ㅋㅋㅋㅋ
P1 	: 추르
P1 	: 환장
P1 	: 해요
P1 	: 봉지만 꺼내도 달라고 난리에요
P0 	: 아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 넘 귀엽네요ㅜㅠ
P0 	: 막 사고치고 그러진 않나요?
P0 	: 보니까 호기심이 많아서
P0 	: 여기저기 망가뜨리고 돌아다니는 고양이들이 많던데요ㅎㅎㅎ
P1 	: 넹! 성격이 온순해서 그런지 괜찮아요!
P1 	: 벽지 뜯고 그런다던데 그런것도 없었어요!
P0 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 다행이네요!!!
P0 	: 고양이 얌전하신가봐요ㅎㅋㅋ
P1 	: 넹ㅋㅋ 말이 많고 얌전해용ㅋㅋㅋ
P1 	: 진짜 보여드리고 싶네여
P1 	: 강아지도 좋아하세요?
P0 	: 네!+!
P0 	: 동물은 다 좋아해요ㅎㅎ
P0 	: 키우지는 못하지만 ㅜㅠ
P0 	: 동생이 털알러지가 있어요ㅠ
