# FILE DATA
ID : MDRW2100024964
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 남친이 학벌 더 좋아요?
P0 	: 학벌이요?
P0 	: 대학중퇴함
P0 	: 캐나다로 유학간다니까요 ㅋㅋㅋㅋㅋ1월에
P0 	: 최소 31에 자리잡을듯요
P1 	: 내나이네
P1 	: 근데 저도 직딩생활 빨리하긴했지만
P1 	: 28까지도 결혼 생각만 했지 실행은 못함
P1 	: 후달랴서...
P0 	: 얘 기다렷다간 제가너무늦을듯요
P0 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 이래서 인생은 타이밍인건가 싶기도 했지만
P0 	: ㅇㅈ
P0 	: 인생 ㄹㅇ 타이밍
P1 	: 어렵드라구요 물론 그땐 용기도 없었고
P1 	: 막무가내로 했으면 뭐 달라졌으려나 싶긴 하지만
P1 	: 혼자 일해서 먹여살릴 자신은 없어서ㅎ
P0 	: 둘다자리잡고 결혼해야죠 ㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋ엄마가 오래 만나니까 허겁지겁 집은 사셨었는데
P1 	: 운좋게 청약이 됐었어가지고ㅋㅋ
P0 	: 오~
P0 	: 사실 그럼 여친이 취업만햇어도
P1 	: 오는 무슨 이젠 처치곤란이죠
P0 	: 가능성잇엇겟는데요
P0 	: 에이 요즘 빚없는사람이 어딧음
P1 	: 취업 했으면 결혼했을걸요?
P1 	: 아마도?
P0 	: 아쉽네
P0 	: 다시만날생각은없나봐요
P1 	: 네 살면서 다신 마주치지 않기를.
P1 	: 원래 칼같아요
P1 	: 아니면 아닌거임
P0 	: 헐ㅋㅋㅋㅋㅋ
P0 	: 매섭다매서워
P0 	: 그니까욬ㅋㅋㅋㅋ
P1 	: 최근에 뭐 사신거라도..
P1 	: 워치말고
P0 	: 엄,,,,,,
P1 	: 그럼 차얘기 ㄱㄱ
P1 	: 뭐 알아보십니까?
P0 	: suv요
P0 	: 베뉴같은거
P0 	: 소형
P1 	: 오우 상여자시네
P1 	: 스토믹인가
P0 	: 베뉴귀욥돈데
P1 	: 아 이름뭐지
P1 	: 스토닉?
P0 	: 아
P0 	: 사나운거말고
P0 	: 귀엽게생긴거사고싶은데
P1 	: ?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 너무사납게생김
P0 	: 저는 둥굴듕굴한거
P1 	: 베뉴가 커여워요?
P0 	: 베뉴졸귀탱
P0 	: 봐바요
P1 	: 산타페 꼬맹이버전 같은데
P0 	: 베뉴귀여운데
