# FILE DATA
ID : MDRW2100037499
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 궁금하긴하네요 왜 맛동산만 그렇게 했는지.. 약간 올드한 감성을 살려야하는 맛이었나...
P0 	: 알고보면 회장님 최애과자라 그랬을 수도...?
P1 	: ㅋㅋㅋㅋㅋ 추측의 추측의 추측을 더해서~
P1 	: 저희아빠는 고소미도 좋아하세여 ㅋㅋㅋ
P1 	: 요즘이 있는지 모르겠는데 하베스트 같은!
P0 	: 고소미는 인정이죠ㅎ
P0 	: 네네 둘다 있어요
P0 	: 우리 탕비일에도..ㅎ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 저 지금 검색하다 봤는데
P1 	: 나이 검증 들어가야겠는데요.. 과자취향이...
P0 	: 에쎄 담뱃잎에는 궁중음악?
P1 	: 에잉??
P0 	: 을 들려준대요
P1 	: 과자에만.그런게.아니에요??
P1 	: 머선129....
P0 	: 에쎄 로열팰리스...이름값 하는군요ㅎㅎ
P1 	: 아근뎈ㅋㅋㅋㅋㅋ
P1 	: 저 갑자기 생각났는데
P1 	: 탕비실에 뿌셔뿌셔 있으면 웃기긴 하겠네옼ㅋㅋㅋㅋㅋ
P0 	: 있으면 안되나요?ㄷㄷㄷ
P1 	: 차라리 맛동산이 어울린다 ㅋㅋㅋㅋㅋㅋ
P1 	: 어머나 있나요???? ㅋㅋㅋㅋ
P0 	: 있어요 그것도ㅎ
P1 	: 옼ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 혼란의 탕비실...
P0 	: 종종 바뀌는데ㅎㅎ 뿌셔뿌셔도 있었죠ㅎㅎ
P1 	: 정말 과자선택의 새시대를 여는 탕비실이네욬ㅋㅋㅋㅋ
P0 	: 노조기수 바뀔때마다 새롭고 짜릿해요ㅎ
P0 	: 아 회사 탕비실에선 다행히 취급안합니다ㅎ
P0 	: 근데 두 탕비실 모두 곰젤리는 어쩐일인지 수북하게...
