# FILE DATA
ID : MDRW2100032844
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경북
principal_residence : 경북
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 1~2회

P0 	: 안녕 안녕
P1 	: 안녕
P0 	: 요즘 배달 많이 시켜 먹니?
P0 	: 난 오늘도 시켰어
P1 	: 거의 매일 시켜먹는듯
P1 	: ㅋㅋㅋㅋㅋ 사람 사는 거 다 똑같네
P0 	: ㅋㅋㅋ뭐 시켜먹었어!
P1 	: 오늘은 햄버거!
P1 	: 맥도날드 먹었다
P1 	: 너는 뭐 먹었는데?
P0 	: 오 맛있었겠다
P0 	: 난 떡볶이!
P0 	: 떡볶이는 자취생에게 최고의 친구지
P1 	: 떡볶이 맛있겠다...
P1 	: 떡볶이 뭔가 혼자 먹기는 많으니까 미루게 돼
P1 	: 그렇다고 식은 떡볶이는 애매하단 말이지
P0 	: ㅋㅋㅋㅋ 그래도 여러번 먹을 수 있으니까
P0 	: 가성비면에서 좋아서 자주 시켜
P1 	: ㅋㅋㅋㅋㅋㅋㅋ 그건 맞지
P1 	: 그런거 한번시키면 기본 하루는 먹으니까
P1 	: 혹시 김말이 맛집 아니
P1 	: 나 김말이 좋아해서 맨날 떡볶이에 김말이 같이 시키는데 정작 맛있는 곳이 없어...!!
P0 	: 아 아쉽다 나도 찾는중임 김말이 맛집...
P0 	: 떡볶이 국물에 김말이 찍어서 먹으면 완전 맛있는데
P1 	: 그니까... 진짜 떡볶이 국물에 김말이 먹고싶다
P1 	: 내가 봤을 때 나 3일 안에 떡볶이 시켜먹을듯ㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋ 로제 떡볶이 좋아하니
P0 	: 떡군이네가 그렇게 맛있더라
P1 	: ㅋㅋㅋㅋㅋㅋ 다음에 먹어볼게
P1 	: 로제 한 번도 안 먹어봤어
P1 	: 나 은근 먹는 것만 먹어서ㅋㅋㅋㅋ
P0 	: 치즈나 크림 좋아하면 로제도 잘 맞지 않을까
P1 	: 둘다 그럭저럭 잘 먹으니까 로제도 도전해봐야겠다
P1 	: 나 어제 소시지 치즈 호떡 사먹어봤어
P0 	: 오 뭐야 그 조합은ㅋㅋㅋㅋㅋ
P1 	: 하나에 3000원이라서 고민했는데 맛있더라
P0 	: 맛있을 것 같긴 하다
P0 	: 어디 팔어?
P1 	: 호떡 꿀이랑 치즈 짭짤함에 소시지 부드러움
P1 	: 앗 그냥 트럭에서 파는거였어ㅋㅋㅋㅋㅋ
P1 	: 본가에서 먹었었어
P0 	: 헐... 나도 먹고 싶다
P0 	: 맛있었겠다 부럽...
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 맛있었어 은근 배도 많이 차고
P0 	: 3000원에 그 정도면 딱 좋지
P0 	: 아 나도 호떡 먹고 싶네
P1 	: ㅋㅋㅋㅋㅋ 호떡 진짜 오랜만에 먹었어
P1 	: 그리고 어제 처음으로 커피도 사먹어봤어!!
P0 	: 처음?ㅋㅋㅋㅋㅋㅋ
P0 	: 뭐야 완전 애기네
P1 	: 달달한 게 좋아서 맨날 단 것만 먹었거든
P1 	: 근데 어제 갑자기 도전정신 생겨서 먹음
P1 	: 아메리카노는 아니고 카페모카 먹었당
P0 	: 오 좋지좋지
P0 	: 나는 아메리카노에 시럽 왕창 넣어서 먹어ㅋㅈㅋㅋ
P0 	: 쓴 거 시름
