# FILE DATA
ID : MDRW2100024316
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 쿠팡에서 무엇을 구매하셨나요
P1 	: 쇼핑이염
P0 	: 샤브샤브와 함께 먹으면 좋은 음식입니다
P0 	: 소스ㅋㅋ음식이 아니고
P1 	: 소스무엇?
P1 	: 후이펑스리라차소스
P1 	: 혹시아닌가요
P0 	: 하이몬칠리샤브소스
P0 	: 입니다ㅋ
P0 	: 샤브수끼소스라되어있네여ㅋㅋ
P0 	: 칼로리는 장담 못함ㅠㅠㅋㅋ
P1 	: 샤브수끼네요
P1 	: 소스는 소량이라 괜찮아요
P0 	: 이거 진짜 맛있어여
P0 	: 맛집에서 먹는 기분ㅋㅋㅋ
P1 	: 사봤어요
P0 	: 얼른만나서 식사하고싶어요ㅋㅋㅋ
P1 	: 정해진것인가요?
P0 	: 메뉴까지 정해놓으니 든든하네요
P0 	: 네ㅋㅋ샤브샤브 당첨ㅋㅋ
P1 	: 맞아요 차에섬구이바다꺼내올게요
P0 	: 샤브샤브먹고ㅋㄱ
P1 	: 보글보글 끓여서먹어야죠
P0 	: 우리스벅가요ㅋㅋㅋ
P1 	: 스타벅스말인가요?
P0 	: 스벅쿠폰 많아요ㅋㅋ
P1 	: 저는 스타벅스를 정말좋아해요
P1 	: 그런데 안간지 오래돼었어요
