# FILE DATA
ID : MDRW2100004368
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 제가 가장 좋아하는 집안일은 설거지입니다!
P1 	: 설거지 귀찮지않나요? 부지런하신가보네요
P0 	: 저는 먹고 바로 설거지하는 걸 좋아해요
P1 	: 저는 집안일을 좋아하지않지만 지져분한게 싫어서 하고있어요
P1 	: 와... 먹고 바로 설거지를 하시다니 정말 부지런하시네요
P1 	: 보통 먹기 전에 식기없어서 하는게 설거지인데
P0 	: 맞아요ㅋㅋㅋ 혹시 가족이 몇명이세요?
P1 	: 저는 자취 중이에요ㅋㅋ 그래서 제 눈에 보기 좋을 만큼만 집안일을 하고있어요
P1 	: 가족은 4인 가족이에요
P0 	: 자취 너무 부러워요 저도 자취가 꿈이거든요ㅠㅠ
P1 	: &name1&님은 가족이 몇 명이신가요?
P0 	: 저희도 4인가족인데 오빠가 자취해요!
P1 	: 직장다니고 어느정도 나이 차면 자취하게 되는것같아요
P1 	: 가족이랑 사이가 좋나요?
P0 	: 저는 가족들과 사이가 좋은데 가족들 서로 사이가 안좋아요ㅠ
P1 	: 혹시나 너무 프라이버시 침해된다고 여기시면 다른 꼭 대답안하셔도되고 말될려주세요ㅎㅎ
P1 	: 아니 오타
P0 	: 괜찮아요 익명이잖아요!
P1 	: 잠시
P1 	: 아ㅋㅋ 네ㅎㅎ
P0 	: 집안일은 너무 힘들죠?
P1 	: 그쵸... 힘들고 무엇보다 귀찮죠
P1 	: 한사람 먹여살리기 힘드네요
P1 	: 후... 어찌나 많이 먹는지
P1 	: 세 끼를 꼬박 챙겨줘야하고
P1 	: 분명 청소해두었는데 몇 일 지나면 더러워져요ㅠㅠ
P1 	: &name1&님은 집안일 나눠하시나요?
P0 	: 맞아요 자취안허는 저도 집안일과 끼니 챙기는데 너무 힘들어요
P1 	: 아니면 주록 어머니께서 하시나요?
P0 	: 아녀 제가 지금 취업준비생이라서 제가 거의 합니다,,
P1 	: 그렇구나
P1 	: 안 힘드신가요?
P1 	: 3~4 인 집 집안일?
P0 	: 집에 가족들이 오래 있지 않아서 집안일 하는게 많진 않아요!
P1 	: 아하!
