# FILE DATA
ID : MDRW2100000730
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210819
topic : 식음료

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 인천
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 충남
principal_residence : 충북
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 요즘 온라인으로 음식 많이 구매하는 것 같아요.
P1 	: 밀키트가 잘나와서 배달 횟수가 줄었어요
P0 	: 맞아요. 요즘 밀키트 너무 좋죠.
P0 	: 주변에 트레이더스가 있어서 가끔 사오는데
P1 	: 밀푀유나베. 부대찌개 좋더라구요
P0 	: 네 그냥 끓이기만 하면 되더라고요 ㅎㅎ
P0 	: 너무 편해요.
P1 	: 배달하거나 재료사서 만드는 것보다 저렴한것 같아요
P0 	: 맞아요. 재료 사는 것보다 저렴해요
P0 	: 버려지는 것도 없고
P1 	: 저녁은 뭐드시나요?
P0 	: 이미 먹었는데 고등어조림이랑 제육볶음 먹었어요.
P0 	: 아직 안드셨나요?
P1 	: 저두요 ㅋ 김치제육볶음 먹었어요
P0 	: 매일 식사 메뉴 고르기가 어렵네요 ㅎ
P1 	: 음식조리법이 비슷비슷하니 살짝 질리기도 해요. 한재료 가지고 이렇게도 해보고 저렇게도 해보고 해야하는데 만들수있는 메뉴가 한정적이에요.
P0 	: 그렇긴 하죠.
P0 	: 누가 메뉴 좀 정해주면 좋겠네요 ㅎㅎ
P1 	: 전 누가 밥좀 해줬으면 좋겠어요 ㅋ
P0 	: 저도요 우렁각시 나터났으면 ㅋ
P0 	: 내일은 뭐해드시나요
P1 	: 아침은 간단하게 시리얼이나 토스트요
P1 	: 점심저녁은 미정
P0 	: 저도 아침엔 토스트 먹어야겠네요
P0 	: 가끔은 학교 식단표 따라해요
P1 	: 학교식단표 좋네요
P0 	: 메뉴 고르기 어려워서요 ㅎ
P1 	: 늘상 고민해도 거의 같은것만 먹는것 같아요
P0 	: 저희도 그래요
P0 	: 비슷한 반찬들
P0 	: 먹는 것만 먹고
P1 	: 배달도 비슷한 것만 시켜요 ㅋ
P0 	: 반찬 어떤 거 잘해드세요?
P1 	: 김치찌개 두루치기 찜닭 떢볶이.된장찌개. 미역국
P1 	: 최근에 먹은 요리에요
P0 	: 와 음식 잘하시나봐요
P0 	: 푸짐하네요 ㅎㅎ
P1 	: 음식을 잘하지는 못해요
P0 	: 맛있겠어요
