# FILE DATA
ID : MDRW2100035108
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 엄청 건강하더라구요ㅋㅋㅋ
P0 	: 그런 강아지 처음봤어요
P1 	: 할머니 사랑을 듬뿍 받았군요
P0 	: 이빨도 다 빠졌는데 완전 활동적이고
P0 	: 쌩쌩해요ㅋㅋㅋ
P0 	: 저는 거북이 키워보고싳어용
P1 	: 에고 진짜 사람이랑 같아요ㅠ
P0 	: 맞아요ㅠㅠ
P1 	: 눈도 멀고 귀도멀고.. ㅠㅠ
P0 	: 아아ㅠㅠ 슬퍼요 얼마전에
P0 	: 아 이름이 기억이 안나는데
P0 	: 강아지가 계속 환생해서
P0 	: 주인 찾는 그런 영화였는데
P0 	: 진짜 주인에 대한 댓가없는 사랑은 반려동물 아니면 없어요ㅠ
P1 	: 와ㅜㅜ
P1 	: 스토리가 넘짠하겠는데요ㅠㅠ
P0 	: 네네ㅠㅠ
P1 	: 진짜 인간만 나쁜존재네요ㅠㅠ
P0 	: 그리고 인스타에서 본건데
P1 	: 버려지는동물들보면 ㅠㅠ 진짜 무책임해여
P0 	: 10년만인가 길에서 잃어버려서 헤어졌다가
P0 	: 주인 만났는데 애가 넘 좋아서 울더라구요ㅠㅠ
P0 	: 주인 보자마자ㅠㅠ
P1 	: 만나면 서로 알아보는건가요ㅠ
P0 	: 그런것같아요ㅠㅠㅠ
P1 	: 와 그럼 다 기억한다는거잖아여ㅠㅠ
P0 	: 네네...
P1 	: 에고ㅠㅠ진짜..못살게구는사람들없으면 좋겠네요ㅠㅠ
P0 	: 맞아요 동물 사랑하는 사람들이 많아졌음 좋겠어요ㅠㅠ
