# FILE DATA
ID : MDRW2100025632
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 오
P0 	: 맞나여?
P1 	: 네 안녕하세요 최근에 어떤상품 구매하셨나요
P0 	: 게롤슈타이너 탄산수를 구매했어요
P0 	: 그외에도 가방스트랩...
P0 	: 또...
P1 	: 와 뭘 많이사셨네요
P1 	: 탄산수는 몇개삿나요
P0 	: 디퓨저도 샀어요
P0 	: 24개 샀어요
P0 	: 저번에 패트로 먹었는데
P0 	: 탄산이 영 그래서 병으로 샀어요
P0 	: &name2&님은 뭐 산거있어요?
P1 	: 오늘 이어폰와요
P1 	: 멜론왔오요
P1 	: 멜론 후숙중
P0 	: 와 멜론..!!
P0 	: 몇개사셨어요????
P0 	: 한박스?
P1 	: 2개삿어요
P0 	: 오오오
P1 	: 흐흐
P0 	: 맛있을거같아요!
P0 	: 멜론멜론-
P1 	: 스트랩은 뭐삿나요
P0 	: 아 계속 살려고 보고 있었는데
P0 	: 맘에들면 비싸거나 이미 완판이라
P0 	: 엄청 뒤적거리다가
P0 	: 디아이블랑꺼가 좀 싸고 이쁘길태
P0 	: 래
P0 	: 흰색에 글씨 써 있는거
P0 	: 샀어요
P0 	: 생각보다 뭐 이뻐요 ㅋㅋ
P0 	: 가방끈이 죽어서 어쩔수없이 샀네요 ㅠ
P1 	: 아하 그런 슬픈일이
P0 	: 이어폰은 몇개 사셨어요???
P1 	: 맘에들길바라요
P1 	: 이어폰하나삿어요
P0 	: 네 ㅎㅎ
