# FILE DATA
ID : MDRW2100002654
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 킹덤도 재밌게 봤어요 이번에 아신전인가 그거 시작한댔는데 몰아서 보려고 아직 시작안했네요
P1 	: 저 다봤어요
P1 	: 아 전 야니 킹덤요
P1 	: 애니
P1 	: 시리즈  킹덤도 다봤어요
P1 	: 아신전까지요 ㅋㅋ
P0 	: 아! 그렇구나 애니에도 킹덤이 있나봐요!! 몰랐어요
P1 	: 애니는 전쟁요
P1 	: 시리즈 킹덤보세요 좀비 살벌한데 배우들이 좀 어색해요
P1 	: 아신전은 한편이라 아쉬워요
P0 	: 아신전...한편이 끝이예요....? 전 더올라오는줄알고 기다리고 있엇는데
P1 	: 네 영화같이 찍은 단편요
P1 	: 일에 발단을 보여줘요
P0 	: 헐 대박 충격이네요 ㅋㅋㅋㅋ 전 시리즈로 올라오는줄알고 기다리고 있었는데
P1 	: 아니예요 허무해요
P1 	: 그래도 한번 보세요 .요새 볼게 없어요
P1 	: 아 저 강철부대 팬이였는데 ㅋㅋ
P0 	: 요새 볼거없긴해요 넷플에
P0 	: 저 강철부대 진짜 재밋게 봣어요 ㅋㅋ
P1 	: 맞아요 아 특전사 ㅜㅜ져서 넘슬렀어요
P1 	: udt 와 대박 잘해요
P0 	: 유디티랑 SSU응원했는데 둘이 딱 결승가서 ㅋㅋㅋ 너무 재밌었어요
P0 	: 특전사 아쉬웟죠 ㅠㅠ
P1 	: 전 요새 빅뱅 2ne1이 다시 나옴좋겠어요
P1 	: 아 ssu도 넘 안타까웠어요
P1 	: 김민수 ㅜㅜ 넘고생하고
P1 	: 황장군 아웃되서 계단에 데리고 가야할때 헉했어요
P1 	: 체급이 너무 차이나니 진짜 힘들었을거예요
P1 	: 다시보고 싶거나 듣고싶은 연예인 있으세요?
P0 	: 빅뱅 투에니원때 좋았지요 ㅋㅋㅋㅋㅋ같은세대시군요
P0 	: 음 저는.. 저도 원더걸스 빅뱅때가 재밌었던거같아요
P0 	: 음방 황금기
P1 	: 저 그때가 참좋았던것 같아요
P1 	: 지금도 전혀 어색하지 않은 음악들이죠
P1 	: 저 2ne1 컴백홈 좋아요
P0 	: 맞아요 ㅋㅋㅋ 신나고 따라부르기도쉽고
P0 	: 크흐..추억이네요
P1 	: 넘좋죠
P1 	: 아 다시 와주길
P1 	: yg가 다 사람 버렸네요
P1 	: 곧 뭉쳐서 예전 모습 보고파요
P1 	: 태양 눈코입도 넘 좋고요
