# FILE DATA
ID : MDRW2100028973
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 경영/관리직
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 경남
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 맞아요
P1 	: 달라요ㅠ
P1 	: 그래도 애가 3이나 ㅠ 부럽습니다ㅠ
P0 	: 부럽다고요ㅋ
P1 	: ㅎㅎ 부럽죠ㅎ
P1 	: 저도 3명이면 좋겟네요ㅎ
P0 	: 오~~ 힘드실텐덱
P0 	: 키우먼야 좋다하지만
P1 	: 그래도 나중에 애들이 크면
P1 	: 아빠엄마한테 큰힘이되요 ㅡㅎ 제가 삼형제라ㅎㅎ 잘알아요ㅎ
P0 	: 형제!!!!!
P1 	: 네네ㅎㅎ 아주 시끌벅적하죠ㅎㅎ
P0 	: 남자3은 진짜 대단하죠ㅋ
P1 	: 아 제가 술취해서ㅎ 형제라했군요ㅎ
P1 	: 맞아요 막내가 여자인데 형제처럼컸으니ㅎㅎㅎㅎㅎㅎ
P1 	: 술취했나봅니당ㅎㅎㅎ
P0 	: 아^^다행이네요ㅋ
P0 	: 가족분들은 다 앱테크하시나요?
P1 	: 아뇨아뇨ㅎㅎ 저만ㅎ
P1 	: 아내는 싫어하다가 요즘에 진짜 제가 받는거보고 달리졌아요ㅎ
P0 	: 혼자 외롭죠ㅋ
P1 	: 맞아요ㅎㅎ
P1 	: 전 단톡방에서 다들 만났지만
P0 	: 저도 외로이ㅋ
P1 	: 좋은분들이라 생각해요ㅎㅎ
P0 	: 저도 인정!!
P0 	: 다시
P1 	: 서로 목표가 같으니깐ㅎㅎ
