# FILE DATA
ID : MDRW2100036695
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 네 그런것 같아요 첫 펄은 거기서 경험했는데 ㅎㅎ
P0 	: 식빵을 두장이나 먹어도 ..성이 안차네요 ㅎㅎ 하아ㅠㅠ
P1 	: 아이고ㅎ
P1 	: 아침은 황제같이!
P1 	: 세장 드시는 겁니다
P0 	: 딱 3장 있는데 ㅎㅎ 저한장까지 ㅎㅎ
P1 	: ㅎㅎ 커피는 다 드셨나요
P0 	: 커피 쪼오금 남았어요 이제 그한장과 마무으리
P1 	: ㅎ 커피가 남았으니 고고!
P1 	: 바닐라라떼와 조합은 좋은가요
P0 	: 네 좋아요 ㅎㅎ 원래는 매일 아메마시는데
P0 	: 아침에는
P0 	: 비오고 추우면 라떼도 좋더라구요 ㅎㅎ
P1 	: ㅎㅎ 부드러운 우유가 생각날 때니까요
P1 	: 회사 근처 검색하니 일리터가 있기는한데 흑당밀크티를 안 파네요 왜죠
P0 	: 그럴리가요!
P0 	: 회사다니시면 점심은 어디서 드세요?? 구내식당??
P0 	: 메뉴판이 업뎃 안된거 아닐까요ㅠㅠㅠ
P0 	: 저라면 전화를 해보겠어요 ㅎㅎ
P1 	: 지점마다 메뉴가 좀 다른가봐요ㅜ
P1 	: 점심은 밖에서 사 먹어요
P1 	: 지역 상생 {censored}웅 하며 안 만들어주더라고요ㅜ
P0 	: 이런~ 맙소사 직원복지는요ㅠ
P1 	: ㅎㅎ 그리고 건물 다른층은 임대장사하는 거 보면 정이 뚝 떨어지네요
P0 	: 임대료..때문인거같네요
P0 	: 식비 자부담이져?
P1 	: 식대 십만원 나오는데
P1 	: 누구코에 붙이란 건지 모르겠어요ㅜ
P1 	: 오천원짜리 집이 어디있다고
P1 	: 창사 이래 오른적이 없대요ㅎㅎ
