# FILE DATA
ID : MDRW2100030507
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 오오오
P1 	: 게임방송은 주로 누구 보시나요?!
P1 	: 저는 선바만 알았는데
P1 	: 최근에 일 터져서;;;
P0 	: 와
P0 	: 저 선바말하려다가 망설였는데
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 앜ㅋㅋㅋㅋ
P0 	: 원래 엄청 봤었는데 종종이라고말한것도
P0 	: 최근에는 안봐서그랬거든요
P1 	: 네네네
P1 	: 아 그쵸
P1 	: 아니근데 너무 빨리
P0 	: 원래는 달고살았어요
P0 	: 네네
P1 	: 복귀했던데....
P1 	: 네네 제 지인들도...
P1 	: 그렇다 하더라구요
P1 	: 근데 너무 인생 쉽게 사는거같아서 현타와요ㅜㅜㅜㅋㅋㅋㅋㅋ하
P0 	: ㅋㅋㅋㅋ그러게요
P0 	: 그래도 매일같이방송하던 사람이
P1 	: 네네
P0 	: 방송은 계속 쉬고있으니까요
P1 	: 아 그럼 영상만 올라오나요?!
P0 	: 방송수입은 끊겼을것같더라구요
P0 	: 네네 옛날에 방송했던것들 편집본 올라오더라구요
P0 	: 옛날이라해봤자 8월이지만
P0 	: ㅋㅋㅋㅋ
P1 	: 오 그렇군요
P0 	: 아혹시 좋아하는 아이돌있으세요?
P1 	: 네네!! 저는
P1 	: 스엠 애들 좋아해요!!!
P1 	: 근데 에스파는 아직 낯가려요,,,
P0 	: 아하
