# FILE DATA
ID : MDRW2100032659
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전북
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 충북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>온라인 커뮤니티
intimacy  :  3
contact_frequency  :  주 1~2회

P1 	: 너무하네
P0 	: 꺄르륵
P0 	: 잇자나
P0 	: 공차 쿠앤크스무디에
P0 	: 치즈폼을 추가하면
P0 	: 마쉿다
P1 	: 호오옥
P1 	: 공차가고싶어져쓰
P1 	: 버블티...마시고싶어졋어
P0 	: 버블티 마쉿지
P0 	: 먹고싶당
P0 	: 요즘 스터디카페에서 마셔서
P0 	: 스무디만 마심
P1 	: 호옥... 여름엔 스무디긴 하지
P1 	: 못참지 그거 어케참음~~~
P0 	: 그치~~ 그리고 스카에선 펄 씹기가 좀 그러니까~~~!++
P0 	: 스무디!
P0 	: 아아도 조아요
P0 	: 내일은 리터의 1리터 아아를 마실거야
P1 	: 펄.. 쫀득쫀득...
P1 	: 아아.. 커피 적당히 마시구
P1 	: 머 먹고 마시고...
P1 	: 위에 안좋아
P0 	: 그건 그렇지만
P0 	: 근처 카페 도장깨기 질리면
P0 	: 끝낼거야 아마도
P1 	: 도장깨기 중이엇냐고
P0 	: 다 프랜차이즈지만
P0 	: 하나씩 가보는중
P1 	: 호오오 나도 도장깨기 해보고싶긴 하다
P1 	: 근데 막상 가면 꼭 맨날 시키는것만 시켜
P0 	: 아 그건 진짜 인정
P0 	: 내일은 다른거 먹어야지 하다가도
P1 	: 막상 가면 좋아하는거 시키게 됨
P0 	: 늘 먹는거 주문함
P0 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 그치이~ 나도 맨날 스무디도
P1 	: 딸기
P1 	: 요거트
P1 	: 주문하거
P1 	: 아 배고프다
P0 	: 이따 아침 먹자~~~~
P1 	: 무슨소리야 아침엔 자야지
P0 	: 그런건가
P0 	: 그럼 자고
P0 	: 점심 먹자
P1 	: 이잉 배고파
P0 	: 지금 뭘 먹을 시간은 아니잖아요!
P0 	: 그니까 잡시다
P1 	: 먹을수도 잇지!
P0 	: 먹을수도 있긴하지만!
P0 	: 먹고 자면 위가 소리지른다구요
P1 	: 뮤슨소리야 먹구 바로 안잘건데
P0 	: 그럼 괜찮은데
P0 	: 머 먹을거야?
P1 	: 몰라 고민주웅
P0 	: 나는 내일 아침에
P0 	: 식빵에 햄 스크램블 치즈올려서
P0 	: 먹을래
P0 	: 배고파졌어
P0 	: 잘거얏
P0 	: 뭐 먹었는지 내일 알려주기ㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣㅣ
P0 	: 
P1 	: 허얼 맛잇는거 먹어
P1 	: 낼.. 기억하면 알려주께
