# FILE DATA
ID : MDRW2100030362
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 일상 트렌드>싸이월드 부활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 부산
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 1~2회

P0 	: 싸이월드 해봤어요?
P1 	: 네 어렸을때 다모임 다음으로 싸이월드 한 것 같네요
P1 	: 싸이월드 해봤나요?
P0 	: 네 많이 기억나는건 없는데 한거같아요
P0 	: 아바타 꾸미고 그랬나요?
P1 	: 맞아요 홈페이지 메인에 방 꾸미고 그랬던 거 같아요
P1 	: 저는 싸이월드 사진 다 백업해서
P1 	: 부활한다해도 딱히 백업할 게 없네요
P0 	: 아하..
P0 	: 저는 백업햇는지 안했는지 기억이 안나서
P1 	: 네
P0 	: 들어가봐야할거같기도해요
P1 	: 그렇군요 제 기억으로는 2015년 2016년에 한 번 로그인한 사람 제외하곤 사진을 싹 밀어버렸던 거 같아요
P1 	: 언니는 그때 안 들어가서 싸이 월드 사진들이 날아갔다고 하네요
P1 	: 싸이월드가 부활하면 이용자들이 있을까요?
P0 	: 헉...그런가요
P0 	: 그럼 부활하는 의미가없는데..
P0 	: 인스타그램같이 모바일친화적이되지않으면
P0 	: 경쟁력이 없어보여요
P1 	: 맞아요 그리고 전세계인이랑 소통할 수 있는 인스타나 페이스북같은 sns가 있어서 싸이월드도 타겟을 전세계로 돌려야한다고 생각해요
P1 	: 일촌명 등록하는 건 재미있었던 거 같아요
P1 	: 수정도 할 수 있고
P0 	: 저는 기억도 안나요
P0 	: 일촌명이 뭐였죠..?
P1 	: 서로 일촌 맺을때 닉네임같은 거 설정할 수 있었어요
P1 	: 이름(닉네임)
P1 	: 이런 식으로요!
P1 	: 친구들끼리 재미있는 일촌명 맺었던 것 같네요
P1 	: 그때마다 유행하는 비지엠도 있었는데 추억이네요
P0 	: 아하 정말 한번 들어가봐야겠어요
P0 	: 싸이 비지엠은 정말 추억인거같아요
