# FILE DATA
ID : MDRW2100006740
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 남성
birthplace : 서울
principal_residence : 인천
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 아기들은 특유의 그 나이물너보면 손가락이랑 같이 알려주는 그게 너무 귀여워요 ㅋㅋㅋ
P0 	: 어떨때는 입으로 뱉는 숫자와 손가락으로 알려주는 숫자가 다르더라구요 ㅋㅋㅋ
P1 	: 애기가 이쁘면 가정을 꾸리실 적령기라 하던데ㅋㅋ
P0 	: 애기는... 학생때부터 예뻤어요ㅠㅋㅋㅋㅋㅋㅋ
P0 	: 애기들은 너무 귀엽고 사랑스러운 존재같아요
P1 	: ㅋㅋ 그런데 애기 별로 안 좋아하는 사람도 많아요
P0 	: 맞아요..
P0 	: 근데 애기를 좋아하지 않는건 개인 성향이니까 어쩔수없지만
P0 	: 아이들한테 사회가 너무 많이 박해진 것 같아요..
P0 	: 저희는 주변 어른들한테 많이 예쁨받으며 지랐다고 생갓하는데
P0 	: 생각하는데
P0 	: 아이들이기에 칠 수 밖에 없는 사고들이나 울음소리에 너무 예민하게 반응하는 것 같아요
P1 	: 맞아요. 오히려 아기들 인권이 심각한 상황도 보여요
P1 	: 노키즈존도 법적으로는 인권 탄압이라던데ㅎㅎ
P0 	: 진짜루요
P0 	: 노키즈존은.... 조용하긴 하겠지만 별로 가고싶지 않아져요
P0 	: 육아하다가 잠깐 콧바람 좀 쐬고싶은 엄마 아빠들은 대체 어디로 가야하나요ㅠㅋㅋㅋ
P1 	: 요즘 아이들 생각해보면
P1 	: 우리 때보다 진짜 성숙한데ㅋ
P0 	: 전 조카가 아직 2살이라 ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 어떤면에선지 여쭤봐도 될까요!
P1 	: 이제 급격히 크면서 말하는거 행동하는거
P1 	: 정말 놀라실거여요ㅋㅋ
P0 	: ㅋㅋㅋㄱㅋㄱㄱㅋㅋㅋㅋ
P0 	: 아니 근데 애기들 똑똑하긴 한 것 같아요
P0 	: 며칠전에 조카가 땡깡을 너무 부려서 장난감으로 녹음을 해서 놀렸나봐요
P0 	: 다음날 아침에 다시 들으려고 켰더니 녹음이 티비소리로 바껴있더래요 ㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㄱ
P1 	: 전자기기 사용 능력은 진짜 놀라워요
P0 	: 정말루요 ㅋㅋㅋ
