# FILE DATA
ID : MDRW2100028064
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 콘텐츠>게임 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저지아이즈? 그 게임도 재밌어보여요
P0 	: 법보다 주먹을 사용하는 주인공의 리걸 서스펜스 게임이라는 소갠데
P0 	: 엄청 신선한데요ㅋㅋ
P1 	: 맞아요 싸우는 겜이라 그런가바요 ㅋㅋㅋㅋ
P1 	: 근데 기무타쿠 모델이라는 ㄷㄷ
P0 	: 변호사인데 싸움으로 해결하나요ㅋㅋ
P0 	: 변호사하면 역전재판같은게 생각나는데 진짜 신선하네요ㅋㅋ
P1 	: 오오 역재 재밌는데
P1 	: 변호사출신
P1 	: 깡패라던가 ㅋㅋㅋㅋ
P1 	: 그랬던듯
P0 	: 깡패출신 변호사도 아니고 변호사출신 깡패요? ㅋㅋㅋ
P1 	: 그런가바요 ㅋㅋㅋ 보다 말았는데 박탈됐던가
P0 	: 설정이 재미있네요 진짜ㅋㅋㅋ
P0 	: 검색하니 플스만 나오는데 다른 플랫폼에도 제공이 되나용
P1 	: 일본 유명배우를 모델로 썻데요 ㅎㅎ
P1 	: 그럼 플스만 될것같아요
P0 	: 그나저나 게임 과금관련 구글페이 바뀌는 뉴스 보셨나요
P1 	: 헉 그건 또 어케 바뀐데요?
P0 	: 사용자나 겜회사입장에서는 나쁠거 없어요!
P0 	: 이전에는 무조건 구글 플레이 통해서 결제 이루어졌고
P0 	: 구글이 수수료를 30프로까지 요구했다고 알고있고요
P0 	: 우리나라에서 구글 갑질 방지법이라고 이번에 새로 법 만들어서 구글 통한 결제 강제 못하도록 했대요
P0 	: 이게 다른나라에서 추진을 못한 일이라 우리나라가 최초래요
P0 	: 그래서 어디 외국 게임사 ceo가 자기 한국인이라고ㅋㅋ 그런 트윗도 올리고 했다던데요
P1 	: 아 그거봤어요 ㅋㅋㅋㅋㅋㅋ
P1 	: 한국인이라고 ㅋㅋㅋ
P1 	: 요즘 구글 자동결제 당하는사람 많더라구요 ㄷㄷ
P0 	: 오잉 당하다니요
P1 	: 무슨 리니지 결제되고 그랫데요
P1 	: 2차비번 필수라고 하네요 구글
P1 	: 카드가 등록되었나봐요
P0 	: 결제 내역 확인해봐야겠네요
P0 	: 저처럼 과금 자주하고 내역 안살펴보는 사람은 모르고 지나가겠어요
