# FILE DATA
ID : MDRW2100020809
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  지역>고향 및 이전 거주지 지인
intimacy  :  4
contact_frequency  :  주 1회 미만

P1 	: 크리스탈라이트는뭐임?
P1 	: 탄산음ㅇ?
P0 	: ㄴㄴㄴ 여러가지 맛이 있는 가루임
P0 	: 탄산수나 물에 타먹는 거
P0 	: 아이스티 가루 같은 거임
P1 	: 아아
P1 	: 뭔지알겠음
P1 	: 그게당이적음?
P0 	: 무가당인데 아스파탐이 들어간대 찾아보고 알았음 왜이리 단가 했네
P1 	: 아
P1 	: 그거탄산있는거야?
P0 	: 아 ㄴㄴㄴㄴ
P1 	: 그냥이온음료같음?
P0 	: 이온 음료보다는
P1 	: 엉ㅇㅇ
P0 	: 그냥 여러 맛 중에 골라서 먹는거라
P0 	: 다양한 맛의 아이스티 먹는 기분임
P1 	: 아 괜찮겠다
P1 	: 너도당줄이려고
P1 	: 제로사이다이런거
P1 	: 마셨는데
P1 	: 이런것도괜찮을즛
P0 	: 아 나돜ㅋㅋㅋㅋㅋㅋㅋ 제로 콜라 이런거
P0 	: 아 근데 아스파탐이 닜어서 많이 먹으면 안좋댜
P0 	: 하루에 한 두포 정도만 먹으래
P1 	: 아스파탐도몸에안좋아?
P1 	: 당이아니라괜찮은줄
P0 	: 그게 설탕의 200배 단맛을 내는데
P1 	: 200배?
P1 	: 아
