# FILE DATA
ID : MDRW2100040635
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 렌카였나 그 목소리 예쁜 분 공연이 기억에 남네요
P0 	: 신혼여행은 파리랑 프라하 다녀왔는데요
P1 	: 꺄 좋으셨겠다!!
P0 	: 그땐 등산화 신고2만보씩 걸었던 배낭여행이되었죠
P1 	: 파리 빵 맛있으셨어요??ㅋㅋㅋㅋ 저 그게 제일 궁금한데요
P0 	: 유럽은 이 두나라만 가봐서 저도 다른 곳 가보고싶어요
P0 	: 아 빵!
P0 	: 매해 하는 맛난 바게트 대회에서 우승한 빵집에서 사먹어봤는데
P0 	: 아직도 종종 이야기해요 거기진짜맛있지않았냐고 ㅎㅎ
P1 	: 아 빵먹으러 가고 싶네여
P0 	: 체코에도 굴뚝빵이 있는데
P1 	: 근데 우리나라에 비슷한 체인점 들어오는게 빠를판이네요ㅋㅋㅋㅋㅋㅋ
P1 	: 굴뚝빵이요? 오
P0 	: 그건기억에남을정도는아니였어요
P1 	: ㅋㅋㅋㅋ 그냥 빵하니까 생각나셨나보네요
P0 	: 아또기억에남는 여행중 하나는
P0 	: 친구랑 베트남에가서 당일 투어를 신청했는데요
P0 	: 한국 남자 둘이와서
P0 	: 기념품을 사주며 오빠 오빠 해봐 라고 하는걸 본 충격적인 여행이있어요
P1 	: 왜인지 한국 남자 둘 안좋은 예감이 드는데여
P1 	: 네 그럴것만 같았습니다
P0 	: 그땐 저도 순수했어서
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ 듣는 얘기마다 기대자체가 없어지는 한국남자
P0 	: 정말놀랐어요
P1 	: 아니 왜 저러고 산대여...
P0 	: 심지어한명은 유부남같았는데
P1 	: 여행까지 와섴ㅋㅋㅋ
P1 	: 끔찍한 이야기네요
P0 	: 쌈을 먹는데 그 베트남 여자들이 직접 만들어주면 아~ 이러고
P0 	: 다른의미로 기억에 남는 여행이죠
P1 	: 안좋은 이야기였는데 끔찍한 이야기됐어욬ㅋㅋㅋㅋㅋ
P0 	: 지금의 전투력이라면
P0 	: 한마디 했을것 같기도해요
P1 	: 그런 놈도 결혼하다니
P1 	: 끔찍해여
P0 	: 그쵸 무서운 세상
